case_id,distance,angle_deg,orientation_deg,final_std,final_flux_max,final_node_max,final_distance,anisotropy_ratio,major_axis_angle_deg,dipole_amplitude,dipole_angle_deg,interaction_score
145,50,30,0,0.7842535454820947,5.023309823456987,23.14790778377254,24.09527589291273,1.3759182016587364,-139.92381984323953,12.805794397339653,-158.43653705778024,0.8674827213648044
255,74,60,0,0.7927455053775814,5.052922882127234,20.5459785341289,10.068037462935758,1.3930365092586035,47.537923633253975,7.678956990154499,-140.057584927838,0.8649415619700304
39,26,0,180,0.7535040246363686,5.199392707405027,26.798680337157947,6.314945703132858,1.1576729352320432,133.6787669044324,13.01802629601699,-165.32920591327735,0.8472617391003573
47,26,60,90,0.7436636973657431,4.880054328445138,23.114294594348053,19.734831290092124,1.2286151401169019,142.50090366750672,10.973034574139712,-167.84709629515166,0.8156334136079902
152,50,60,90,0.7796377891590439,5.317932049654943,23.74584894813333,12.52092228676084,1.1207811623140376,117.61766361489758,14.276894637365258,-133.85411062332383,0.7977859697232146
190,58,90,0,0.7718543809474684,5.2713883733502565,21.8647205041948,15.024344885239644,1.167534060658159,112.06392132330554,9.64865996893967,-157.04816172486346,0.7963484048157697
109,42,0,180,0.7588145337636829,5.142087368036846,20.66858189072957,10.383012567363172,1.0888795005985357,123.3563609589267,19.706043390040772,-175.06300264571274,0.792524687462452
82,34,60,90,0.758192982064537,4.9040354591456365,23.133162749190024,11.122912684660918,1.0741085563885029,58.214480492842235,11.329543001182678,-179.61491676394832,0.7814397147709468
75,34,30,0,0.7697821842101138,5.2091319839013455,24.32904457317043,17.145068252327597,1.130265127550064,121.57818593755731,9.714238387126047,-125.53419016544576,0.7694055660628056
45,26,60,0,0.776473455333261,5.0608226832202,22.048134274818782,18.913026674945364,1.1239625547090026,139.0131668796851,13.405372724590855,-169.87417216578777,0.7674161439797745
78,34,30,135,0.7806425131931516,4.808841011571871,21.868142349395605,20.577997411141247,1.130688730741483,118.34154164643866,12.557446292049299,-153.17090153779046,0.7624543783150353
141,50,0,45,0.8054345579903471,5.025701239774779,22.497140454287344,13.011688103265735,1.0541203432255464,-141.33994132556052,11.952898581033107,162.71764116227956,0.7620017310964445
186,58,60,45,0.7937250009383626,4.856901345844645,22.890655340430342,5.71527640810442,1.181705906683389,65.80168845230963,6.968660887150694,-179.27371599506674,0.7561797023514467
77,34,30,90,0.7471342707449764,5.093818777924076,23.81333814659646,21.897434784275028,1.1227096896670732,85.87901900093371,13.870881121561116,174.49743955806326,0.7518676709121614
184,58,30,180,0.7887903923462655,4.574780980870059,24.605488661346328,39.023116372783996,1.2937173803997035,142.36090277119402,19.15441458608818,-155.6812430161593,0.7517431083359317
218,66,30,135,0.8050806055982347,5.108551754206634,23.650710069479146,21.584146055989365,1.110402569892595,-148.170645676823,10.615376377880867,-152.51059690707973,0.7472805546663506
155,50,90,0,0.7756587138345074,5.334450898311297,23.621566864877444,20.453858263210225,1.09277724485731,101.20721756216032,10.787975101789419,-98.78067475724346,0.7441193311126039
32,18,180,90,0.752502144319846,5.00944887505219,25.145002357961097,22.25192666630882,1.118175829116324,142.1812891383266,9.887603880990623,96.3044528955404,0.7438944170612897
175,58,0,0,0.8046893689749816,4.997570612885569,24.881614585635408,3.7449546075052464,1.0742266878090274,159.75393385924545,7.785987738492915,123.67227388160049,0.7408981417142395
