node_id,x,y,z,t,beta,seed,crit_value,degree
0,0,0,0,0,9.0,1,3.664006066944498,4
1,0,0,0,1,9.0,1,2.2116528219203477,3
2,0,0,1,0,9.0,1,2.3878614525301525,3
3,0,0,1,1,9.0,1,1.8869839378417534,2
4,0,0,11,8,9.0,1,2.5210030655034403,1
5,0,1,0,0,9.0,1,1.8543117513230996,1
6,0,3,0,11,9.0,1,2.5826592601524,2
7,0,4,0,3,9.0,1,2.2037574164785516,0
8,0,4,0,10,9.0,1,2.468792376974292,2
9,0,4,0,11,9.0,1,3.708129661356122,5
10,0,4,1,11,9.0,1,1.9619836216357842,2
11,0,5,0,0,9.0,1,2.1469249339634753,2
12,0,5,0,11,9.0,1,2.522096423799913,3
13,0,6,0,0,9.0,1,1.807758678625098,1
14,0,8,2,4,9.0,1,2.1324432884502897,1
15,0,9,2,3,9.0,1,1.7668711745774084,1
16,0,9,2,4,9.0,1,2.367635323022772,6
17,0,9,2,5,9.0,1,1.8103970173219301,2
18,0,9,3,4,9.0,1,1.884502208294305,1
19,0,9,10,6,9.0,1,1.7596054526327152,0
20,0,10,0,0,9.0,1,1.886261683173047,1
21,0,10,0,1,9.0,1,2.2810258570449498,3
22,0,10,0,2,9.0,1,1.7479029455773656,2
23,0,10,2,4,9.0,1,1.7582753805694713,1
24,0,10,5,0,9.0,1,2.472020697518817,3
25,0,10,6,0,9.0,1,2.846772244404075,5
26,0,10,6,1,9.0,1,2.0098895040520386,2
27,0,10,7,0,9.0,1,1.9629563824909866,3
28,0,11,0,1,9.0,1,2.2049998586023922,3
29,0,11,0,2,9.0,1,2.0011534436790064,2
30,0,11,5,0,9.0,1,3.2630089206847366,4
31,0,11,5,1,9.0,1,2.305870480620631,2
32,0,11,6,0,9.0,1,3.581959238727763,5
33,0,11,6,1,9.0,1,2.948477038141598,6
34,0,11,6,2,9.0,1,2.2316428105611323,2
35,0,11,7,0,9.0,1,2.402285258216041,4
36,0,11,7,1,9.0,1,2.403951608368037,4
37,0,11,7,2,9.0,1,2.3346717792915954,2
38,1,0,0,0,9.0,1,2.6554492918303936,3
39,1,0,1,0,9.0,1,1.9153558464293754,2
40,1,0,11,7,9.0,1,1.919500464042101,1
41,1,0,11,8,9.0,1,2.902187854645548,4
42,1,0,11,9,9.0,1,1.873297419817558,1
43,1,3,0,0,9.0,1,1.8441606935677608,3
