beta,seed,u_id,v_id,u_x,u_y,u_z,u_t,v_x,v_y,v_z,v_t
10.0,1,0,1,0,0,2,8,0,0,2,9
10.0,1,2,6,0,1,2,3,0,2,2,3
10.0,1,2,4,0,1,2,3,0,1,3,3
10.0,1,2,3,0,1,2,3,0,1,2,4
10.0,1,3,7,0,1,2,4,0,2,2,4
10.0,1,3,5,0,1,2,4,0,1,3,4
10.0,1,4,25,0,1,3,3,1,1,3,3
10.0,1,4,8,0,1,3,3,0,2,3,3
10.0,1,4,5,0,1,3,3,0,1,3,4
10.0,1,5,9,0,1,3,4,0,2,3,4
10.0,1,6,8,0,2,2,3,0,2,3,3
10.0,1,6,7,0,2,2,3,0,2,2,4
10.0,1,7,12,0,2,2,4,0,3,2,4
10.0,1,7,9,0,2,2,4,0,2,3,4
10.0,1,8,13,0,2,3,3,0,3,3,3
10.0,1,8,9,0,2,3,3,0,2,3,4
10.0,1,9,26,0,2,3,4,1,2,3,4
10.0,1,9,14,0,2,3,4,0,3,3,4
10.0,1,9,11,0,2,3,4,0,2,4,4
10.0,1,9,10,0,2,3,4,0,2,3,5
10.0,1,10,15,0,2,3,5,0,3,3,5
10.0,1,11,16,0,2,4,4,0,3,4,4
10.0,1,12,17,0,3,2,4,0,4,2,4
10.0,1,12,14,0,3,2,4,0,3,3,4
10.0,1,13,18,0,3,3,3,0,4,3,3
10.0,1,13,14,0,3,3,3,0,3,3,4
10.0,1,14,27,0,3,3,4,1,3,3,4
10.0,1,14,19,0,3,3,4,0,4,3,4
10.0,1,14,16,0,3,3,4,0,3,4,4
10.0,1,14,15,0,3,3,4,0,3,3,5
10.0,1,15,20,0,3,3,5,0,4,3,5
10.0,1,16,21,0,3,4,4,0,4,4,4
10.0,1,17,19,0,4,2,4,0,4,3,4
10.0,1,18,19,0,4,3,3,0,4,3,4
10.0,1,19,21,0,4,3,4,0,4,4,4
10.0,1,19,20,0,4,3,4,0,4,3,5
10.0,1,22,32,0,7,4,6,1,7,4,6
10.0,1,22,23,0,7,4,6,0,7,5,6
10.0,1,23,34,0,7,5,6,1,7,5,6
10.0,1,26,27,1,2,3,4,1,3,3,4
10.0,1,28,38,1,4,2,11,2,4,2,11
10.0,1,29,43,1,6,4,6,2,6,4,6
10.0,1,29,32,1,6,4,6,1,7,4,6
10.0,1,30,44,1,7,3,6,2,7,3,6
10.0,1,30,32,1,7,3,6,1,7,4,6
10.0,1,31,45,1,7,4,5,2,7,4,5
10.0,1,31,32,1,7,4,5,1,7,4,6
10.0,1,32,46,1,7,4,6,2,7,4,6
10.0,1,32,35,1,7,4,6,1,8,4,6
10.0,1,32,34,1,7,4,6,1,7,5,6
10.0,1,32,33,1,7,4,6,1,7,4,7
10.0,1,33,47,1,7,4,7,2,7,4,7
10.0,1,34,48,1,7,5,6,2,7,5,6
10.0,1,35,49,1,8,4,6,2,8,4,6
10.0,1,36,51,2,1,11,4,3,1,11,4
10.0,1,37,39,2,4,2,10,2,5,2,10
10.0,1,37,38,2,4,2,10,2,4,2,11
10.0,1,38,40,2,4,2,11,2,5,2,11
10.0,1,39,40,2,5,2,10,2,5,2,11
10.0,1,41,44,2,6,3,6,2,7,3,6
10.0,1,41,43,2,6,3,6,2,6,4,6
10.0,1,42,45,2,6,4,5,2,7,4,5
10.0,1,42,43,2,6,4,5,2,6,4,6
10.0,1,43,52,2,6,4,6,3,6,4,6
10.0,1,43,46,2,6,4,6,2,7,4,6
10.0,1,44,46,2,7,3,6,2,7,4,6
10.0,1,45,46,2,7,4,5,2,7,4,6
10.0,1,46,53,2,7,4,6,3,7,4,6
10.0,1,46,49,2,7,4,6,2,8,4,6
10.0,1,46,48,2,7,4,6,2,7,5,6
10.0,1,46,47,2,7,4,6,2,7,4,7
10.0,1,50,51,3,0,11,4,3,1,11,4
10.0,1,52,53,3,6,4,6,3,7,4,6
10.0,1,56,71,5,1,8,6,6,1,8,6
10.0,1,56,58,5,1,8,6,5,2,8,6
10.0,1,56,57,5,1,8,6,5,1,9,6
10.0,1,57,74,5,1,9,6,6,1,9,6
10.0,1,57,60,5,1,9,6,5,2,9,6
10.0,1,58,78,5,2,8,6,6,2,8,6
10.0,1,58,60,5,2,8,6,5,2,9,6
10.0,1,59,80,5,2,9,5,6,2,9,5
10.0,1,59,63,5,2,9,5,5,3,9,5
10.0,1,59,60,5,2,9,5,5,2,9,6
10.0,1,60,81,5,2,9,6,6,2,9,6
10.0,1,60,64,5,2,9,6,5,3,9,6
10.0,1,60,62,5,2,9,6,5,2,10,6
10.0,1,60,61,5,2,9,6,5,2,9,7
10.0,1,61,82,5,2,9,7,6,2,9,7
10.0,1,62,84,5,2,10,6,6,2,10,6
10.0,1,63,87,5,3,9,5,6,3,9,5
10.0,1,63,64,5,3,9,5,5,3,9,6
10.0,1,64,88,5,3,9,6,6,3,9,6
10.0,1,65,92,5,3,11,11,6,3,11,11
10.0,1,66,94,5,4,10,4,6,4,10,4
10.0,1,66,67,5,4,10,4,5,4,11,4
10.0,1,67,96,5,4,11,4,6,4,11,4
10.0,1,68,104,5,6,0,4,6,6,0,4
10.0,1,71,78,6,1,8,6,6,2,8,6
10.0,1,71,74,6,1,8,6,6,1,9,6
10.0,1,71,72,6,1,8,6,6,1,8,7
10.0,1,72,79,6,1,8,7,6,2,8,7
10.0,1,72,75,6,1,8,7,6,1,9,7
10.0,1,73,80,6,1,9,5,6,2,9,5
10.0,1,73,74,6,1,9,5,6,1,9,6
10.0,1,74,109,6,1,9,6,7,1,9,6
10.0,1,74,81,6,1,9,6,6,2,9,6
10.0,1,74,76,6,1,9,6,6,1,10,6
10.0,1,74,75,6,1,9,6,6,1,9,7
10.0,1,75,82,6,1,9,7,6,2,9,7
10.0,1,76,84,6,1,10,6,6,2,10,6
10.0,1,77,80,6,2,8,5,6,2,9,5
10.0,1,77,78,6,2,8,5,6,2,8,6
10.0,1,78,111,6,2,8,6,7,2,8,6
10.0,1,78,85,6,2,8,6,6,3,8,6
10.0,1,78,81,6,2,8,6,6,2,9,6
10.0,1,78,79,6,2,8,6,6,2,8,7
10.0,1,79,82,6,2,8,7,6,2,9,7
10.0,1,80,112,6,2,9,5,7,2,9,5
10.0,1,80,87,6,2,9,5,6,3,9,5
10.0,1,80,83,6,2,9,5,6,2,10,5
10.0,1,80,81,6,2,9,5,6,2,9,6
10.0,1,81,113,6,2,9,6,7,2,9,6
10.0,1,81,88,6,2,9,6,6,3,9,6
10.0,1,81,84,6,2,9,6,6,2,10,6
