node_id,x,y,z,t,beta,seed,crit_value,degree
0,0,0,0,4,14.0,2,2.8092239196351185,0
1,0,0,2,0,14.0,2,2.356737599759607,2
2,0,0,2,1,14.0,2,2.2657543086115584,2
3,0,0,3,0,14.0,2,5.608649957450689,5
4,0,0,3,1,14.0,2,4.1506146978450476,4
5,0,0,4,0,14.0,2,6.838268249575924,5
6,0,0,4,1,14.0,2,4.067710771418957,2
7,0,0,5,0,14.0,2,3.6851168038285307,1
8,0,0,6,7,14.0,2,2.517111555310461,1
9,0,0,6,8,14.0,2,2.2494653303698477,1
10,0,1,3,0,14.0,2,2.632156693850478,2
11,0,1,4,0,14.0,2,3.2162021343046723,2
12,0,5,11,0,14.0,2,3.8219958026902208,2
13,0,6,8,7,14.0,2,2.845331797640471,1
14,0,6,10,0,14.0,2,2.6610774133567707,2
15,0,6,11,0,14.0,2,5.245848673996413,5
16,0,6,11,1,14.0,2,2.626885446035554,2
17,0,7,8,7,14.0,2,2.5747987788068056,1
18,0,7,11,0,14.0,2,3.039120388578613,2
19,1,0,3,0,14.0,2,2.920657917496326,3
20,1,0,3,1,14.0,2,2.4396803886623517,2
21,1,0,4,0,14.0,2,3.431011585466651,2
22,1,1,5,10,14.0,2,2.3709775070621144,3
23,1,1,6,10,14.0,2,2.4148738643137477,3
24,1,2,5,10,14.0,2,2.7095472389815876,3
25,1,2,6,9,14.0,2,2.5981820103000013,2
26,1,2,6,10,14.0,2,3.133789323530686,4
27,1,5,10,0,14.0,2,2.4822036201624202,2
28,1,5,11,0,14.0,2,4.793200253036948,5
29,1,5,11,1,14.0,2,2.350293480656445,2
30,1,6,10,0,14.0,2,3.3083578000091216,3
31,1,6,11,0,14.0,2,6.409717083610504,6
32,1,6,11,1,14.0,2,3.123929292500247,3
33,1,7,11,0,14.0,2,3.6662181018487905,3
34,2,0,1,2,14.0,2,3.288253346826002,4
35,2,0,1,3,14.0,2,4.408282879015091,5
36,2,0,1,4,14.0,2,2.7953709398004825,3
37,2,0,2,2,14.0,2,4.34503738035371,5
38,2,0,2,3,14.0,2,5.9206242085788,6
39,2,0,2,4,14.0,2,3.754393714703332,4
40,2,0,3,2,14.0,2,2.684232834637678,3
41,2,0,3,3,14.0,2,3.5981427406380346,4
42,2,0,3,4,14.0,2,2.7047267726533546,3
43,2,1,1,2,14.0,2,2.2940547655936205,4
44,2,1,1,3,14.0,2,2.522161471209701,4
45,2,1,2,2,14.0,2,2.4575552715244386,4
46,2,1,2,3,14.0,2,3.052957091035684,4
47,2,1,5,10,14.0,2,2.3068764775004893,3
48,2,1,6,9,14.0,2,2.3711056246041293,2
49,2,1,6,10,14.0,2,2.886025003733408,5
50,2,1,6,11,14.0,2,2.2297425204892414,2
51,2,2,5,9,14.0,2,2.314443404195996,2
52,2,2,5,10,14.0,2,3.0792470409622776,6
53,2,2,5,11,14.0,2,2.4854293506713265,3
54,2,2,6,9,14.0,2,3.1596801008114643,4
55,2,2,6,10,14.0,2,3.909117277485261,8
56,2,2,6,11,14.0,2,2.7857855462887873,3
57,2,2,7,10,14.0,2,2.489472854684978,1
58,2,3,6,10,14.0,2,2.421243375197453,1
59,2,5,11,0,14.0,2,2.967908466754029,2
60,2,6,11,0,14.0,2,3.8797610378500296,3
61,2,7,11,0,14.0,2,2.255734747188928,2
62,2,8,6,0,14.0,2,2.308815194898556,0
63,3,0,0,3,14.0,2,2.6208747184954344,1
64,3,0,1,2,14.0,2,4.417950207734401,5
65,3,0,1,3,14.0,2,6.085490912977598,7
66,3,0,1,4,14.0,2,3.8115727583460126,4
67,3,0,2,2,14.0,2,5.947741565588361,6
68,3,0,2,3,14.0,2,8.299066911406378,7
69,3,0,2,4,14.0,2,5.120011379193511,6
70,3,0,3,2,14.0,2,3.5171160977011486,3
71,3,0,3,3,14.0,2,4.940948327334273,6
72,3,0,3,4,14.0,2,3.477452535536441,3
73,3,1,1,2,14.0,2,2.611183059178887,4
74,3,1,1,3,14.0,2,3.1656939945511913,4
75,3,1,2,2,14.0,2,3.091302016731417,4
76,3,1,2,3,14.0,2,4.101011855621523,7
77,3,1,2,4,14.0,2,2.5807173441258513,2
78,3,1,3,3,14.0,2,2.5107599885747076,2
79,3,2,4,11,14.0,2,2.8222758267380437,3
