node_id,x,y,z,t,beta,seed,crit_value,degree
0,0,0,0,3,15.0,1,2.6196582456054514,1
1,0,0,1,2,15.0,1,2.9986419870640493,2
2,0,0,1,3,15.0,1,3.7894682769705073,4
3,0,0,1,4,15.0,1,2.606328059158437,2
4,0,0,2,2,15.0,1,3.0811000800998984,2
5,0,0,2,3,15.0,1,3.5587919319198997,3
6,0,0,2,4,15.0,1,2.4322501568731094,2
7,0,4,4,0,15.0,1,2.958798542863445,1
8,0,5,3,0,15.0,1,3.1331418849910637,1
9,0,5,3,3,15.0,1,2.448647814184465,1
10,0,5,4,0,15.0,1,4.108422708274339,4
11,0,5,5,0,15.0,1,2.525865234503516,1
12,0,6,2,3,15.0,1,2.6730941393230947,1
13,0,6,3,2,15.0,1,2.408996403555758,1
14,0,6,3,3,15.0,1,3.4754274731716004,4
15,0,6,3,4,15.0,1,2.624957069282,1
16,0,6,4,0,15.0,1,2.514156661134309,1
17,2,7,9,1,15.0,1,2.383188532652854,2
18,2,8,9,0,15.0,1,2.547682509414956,2
19,2,8,9,1,15.0,1,2.7690307172942714,3
20,3,5,2,11,15.0,1,3.0024013677734227,1
21,3,7,9,0,15.0,1,2.713491935809295,3
22,3,7,9,1,15.0,1,2.8515240741614565,3
23,3,8,8,0,15.0,1,2.9756888036244376,3
24,3,8,8,1,15.0,1,2.859588299914538,2
25,3,8,9,0,15.0,1,3.7846132481626267,7
26,3,8,9,1,15.0,1,3.764325017722957,7
27,3,8,10,0,15.0,1,2.597766718167714,3
28,3,8,10,1,15.0,1,2.500742016162315,2
29,3,8,10,8,15.0,1,2.360571184833742,1
30,3,9,6,9,15.0,1,2.8209931810417825,0
31,3,9,9,0,15.0,1,2.419859990515102,3
32,3,9,9,1,15.0,1,2.361575935015368,2
33,3,9,10,5,15.0,1,2.4638266246128757,3
34,3,9,11,4,15.0,1,2.491691357474177,3
35,3,9,11,5,15.0,1,3.277082401301777,4
36,3,10,4,1,15.0,1,2.3364012623018575,0
37,3,10,10,5,15.0,1,2.5658108745524504,3
38,3,10,11,4,15.0,1,2.484896564413906,3
39,3,10,11,5,15.0,1,3.3420658267580605,4
40,4,4,2,11,15.0,1,3.164688045312707,2
41,4,5,1,11,15.0,1,2.5404792819835347,1
42,4,5,2,10,15.0,1,2.5257983876538446,1
43,4,5,2,11,15.0,1,3.7527387318852576,5
44,4,7,9,0,15.0,1,2.4270447407281983,2
45,4,7,10,8,15.0,1,2.3531918928880033,1
46,4,8,8,0,15.0,1,2.878848880854614,2
47,4,8,9,0,15.0,1,3.5388907848646607,7
48,4,8,9,1,15.0,1,2.8320161493221665,2
49,4,8,9,8,15.0,1,2.4407906526348233,1
