node_id,x,y,z,t,beta,seed,crit_value,degree
0,0,1,11,4,13.0,1,2.557986077003429,2
1,0,2,9,9,13.0,1,2.2084894345839508,1
2,0,2,10,4,13.0,1,2.407043495940484,2
3,0,2,11,3,13.0,1,2.9527833456049417,3
4,0,2,11,4,13.0,1,4.112690113289873,6
5,0,2,11,5,13.0,1,2.511757990412821,2
6,0,3,8,8,13.0,1,2.2867807339161246,3
7,0,3,9,8,13.0,1,2.997923820795839,4
8,0,3,9,9,13.0,1,2.4045580242084563,3
9,0,3,11,3,13.0,1,2.5312506276424407,3
10,0,3,11,4,13.0,1,3.182123101573271,3
11,0,4,2,7,13.0,1,2.4309099535613234,2
12,0,4,2,8,13.0,1,3.009976333991226,4
13,0,4,2,9,13.0,1,2.265937688699041,2
14,0,4,3,8,13.0,1,2.322738254645224,2
15,0,4,8,7,13.0,1,2.2015847604606584,3
16,0,4,8,8,13.0,1,2.707543345647744,4
17,0,4,9,7,13.0,1,2.65192164610857,3
18,0,4,9,8,13.0,1,3.663597732632557,7
19,0,4,9,9,13.0,1,2.313282013495493,3
20,0,4,10,8,13.0,1,2.172143055654478,2
21,0,5,1,7,13.0,1,2.295416773770906,2
22,0,5,1,8,13.0,1,3.0511692832037633,4
23,0,5,1,9,13.0,1,2.32092153381724,2
24,0,5,2,7,13.0,1,3.2816972358939043,5
25,0,5,2,8,13.0,1,4.257605831672361,7
26,0,5,2,9,13.0,1,3.2031477840856093,6
27,0,5,3,7,13.0,1,2.500174984299298,2
28,0,5,3,8,13.0,1,3.155847224242424,5
29,0,5,3,9,13.0,1,2.726441502682612,3
30,0,5,9,8,13.0,1,2.199201254975694,2
31,0,6,1,8,13.0,1,2.3046333603283444,2
32,0,6,2,7,13.0,1,2.2144304384585882,2
33,0,6,2,8,13.0,1,2.775068138401281,4
34,0,6,2,9,13.0,1,2.2182664277415074,2
35,0,10,4,9,13.0,1,2.727523932925001,2
36,0,10,4,10,13.0,1,2.3672963398991054,2
37,0,10,5,4,13.0,1,2.4648458253160443,3
38,0,10,6,3,13.0,1,2.292525203276551,2
39,0,10,6,4,13.0,1,3.0807462728250563,4
40,0,11,5,4,13.0,1,2.5836269935077354,3
41,0,11,6,4,13.0,1,2.670919272945309,3
42,1,0,7,5,13.0,1,2.287981343953961,0
43,1,1,11,4,13.0,1,3.1293339861349225,2
44,1,2,10,4,13.0,1,3.022114729174454,5
45,1,2,10,5,13.0,1,2.2061489042137037,2
46,1,2,11,3,13.0,1,3.4294292455782585,4
47,1,2,11,4,13.0,1,4.882001398065827,7
48,1,2,11,5,13.0,1,3.1484273609171542,5
49,1,3,8,8,13.0,1,2.21289519106961,3
50,1,3,9,8,13.0,1,2.9388561145703656,3
51,1,3,10,4,13.0,1,2.3724531391853123,2
52,1,3,11,3,13.0,1,2.7233024871598315,3
53,1,3,11,4,13.0,1,3.5488000724401325,6
54,1,3,11,5,13.0,1,2.293463964528794,2
55,1,4,8,7,13.0,1,2.2247492667962385,3
56,1,4,8,8,13.0,1,2.9015402410799673,4
57,1,4,9,7,13.0,1,2.8091844209832164,3
58,1,4,9,8,13.0,1,3.9497195902471374,8
59,1,4,9,9,13.0,1,2.5261327952328374,2
60,1,4,10,8,13.0,1,2.3990790091590055,2
