beta,seed,u_id,v_id,u_x,u_y,u_z,u_t,v_x,v_y,v_z,v_t
9.0,2,3,21,0,7,0,5,1,7,0,5
9.0,2,3,5,0,7,0,5,0,8,0,5
9.0,2,4,23,0,8,0,4,1,8,0,4
9.0,2,4,7,0,8,0,4,0,8,1,4
9.0,2,4,5,0,8,0,4,0,8,0,5
9.0,2,5,24,0,8,0,5,1,8,0,5
9.0,2,5,9,0,8,0,5,0,9,0,5
9.0,2,5,8,0,8,0,5,0,8,1,5
9.0,2,5,6,0,8,0,5,0,8,0,6
9.0,2,6,25,0,8,0,6,1,8,0,6
9.0,2,6,10,0,8,0,6,0,9,0,6
9.0,2,7,8,0,8,1,4,0,8,1,5
9.0,2,8,12,0,8,1,5,0,9,1,5
9.0,2,9,26,0,9,0,5,1,9,0,5
9.0,2,9,12,0,9,0,5,0,9,1,5
9.0,2,9,10,0,9,0,5,0,9,0,6
9.0,2,10,27,0,9,0,6,1,9,0,6
9.0,2,10,15,0,9,0,6,0,10,0,6
9.0,2,10,13,0,9,0,6,0,9,1,6
9.0,2,10,11,0,9,0,6,0,9,0,7
9.0,2,11,28,0,9,0,7,1,9,0,7
9.0,2,12,13,0,9,1,5,0,9,1,6
9.0,2,16,33,1,1,11,10,2,1,11,10
9.0,2,18,41,1,6,4,11,2,6,4,11
9.0,2,18,19,1,6,4,11,1,6,5,11
9.0,2,19,43,1,6,5,11,2,6,5,11
9.0,2,20,45,1,7,0,4,2,7,0,4
9.0,2,20,23,1,7,0,4,1,8,0,4
9.0,2,20,21,1,7,0,4,1,7,0,5
9.0,2,21,46,1,7,0,5,2,7,0,5
9.0,2,21,24,1,7,0,5,1,8,0,5
9.0,2,21,22,1,7,0,5,1,7,0,6
9.0,2,22,25,1,7,0,6,1,8,0,6
9.0,2,23,24,1,8,0,4,1,8,0,5
9.0,2,24,26,1,8,0,5,1,9,0,5
9.0,2,24,25,1,8,0,5,1,8,0,6
9.0,2,25,27,1,8,0,6,1,9,0,6
9.0,2,26,27,1,9,0,5,1,9,0,6
9.0,2,27,28,1,9,0,6,1,9,0,7
9.0,2,28,29,1,9,0,7,1,10,0,7
9.0,2,29,49,1,10,0,7,2,10,0,7
9.0,2,30,33,2,0,11,10,2,1,11,10
9.0,2,31,51,2,1,0,3,3,1,0,3
9.0,2,31,35,2,1,0,3,2,2,0,3
9.0,2,32,33,2,1,11,9,2,1,11,10
9.0,2,33,36,2,1,11,10,2,2,11,10
9.0,2,33,34,2,1,11,10,2,1,11,11
9.0,2,35,53,2,2,0,3,3,2,0,3
9.0,2,37,41,2,5,4,11,2,6,4,11
9.0,2,37,38,2,5,4,11,2,5,5,11
9.0,2,38,43,2,5,5,11,2,6,5,11
9.0,2,38,39,2,5,5,11,2,5,6,11
9.0,2,39,44,2,5,6,11,2,6,6,11
9.0,2,40,42,2,6,4,10,2,6,5,10
9.0,2,40,41,2,6,4,10,2,6,4,11
9.0,2,41,54,2,6,4,11,3,6,4,11
9.0,2,41,43,2,6,4,11,2,6,5,11
9.0,2,42,43,2,6,5,10,2,6,5,11
9.0,2,43,55,2,6,5,11,3,6,5,11
9.0,2,43,47,2,6,5,11,2,7,5,11
9.0,2,43,44,2,6,5,11,2,6,6,11
9.0,2,45,46,2,7,0,4,2,7,0,5
9.0,2,49,50,2,10,0,7,2,10,0,8
9.0,2,51,53,3,1,0,3,3,2,0,3
9.0,2,54,55,3,6,4,11,3,6,5,11
9.0,2,56,60,4,2,6,6,5,2,6,6
9.0,2,58,59,4,10,0,11,4,10,1,11
9.0,2,61,83,5,8,9,11,6,8,9,11
9.0,2,62,85,5,8,11,0,6,8,11,0
9.0,2,62,65,5,8,11,0,5,9,11,0
9.0,2,62,63,5,8,11,0,5,8,11,1
9.0,2,63,86,5,8,11,1,6,8,11,1
9.0,2,63,66,5,8,11,1,5,9,11,1
9.0,2,63,64,5,8,11,1,5,8,11,2
9.0,2,64,87,5,8,11,2,6,8,11,2
9.0,2,64,67,5,8,11,2,5,9,11,2
9.0,2,65,92,5,9,11,0,6,9,11,0
9.0,2,65,66,5,9,11,0,5,9,11,1
9.0,2,66,93,5,9,11,1,6,9,11,1
9.0,2,66,68,5,9,11,1,5,10,11,1
9.0,2,66,67,5,9,11,1,5,9,11,2
9.0,2,67,94,5,9,11,2,6,9,11,2
9.0,2,67,69,5,9,11,2,5,10,11,2
9.0,2,68,95,5,10,11,1,6,10,11,1
9.0,2,68,69,5,10,11,1,5,10,11,2
9.0,2,69,96,5,10,11,2,6,10,11,2
9.0,2,70,99,6,2,4,0,7,2,4,0
9.0,2,70,71,6,2,4,0,6,2,4,1
9.0,2,71,100,6,2,4,1,7,2,4,1
9.0,2,72,73,6,6,1,5,6,6,2,5
9.0,2,74,102,6,6,9,11,7,6,9,11
9.0,2,74,79,6,6,9,11,6,7,9,11
9.0,2,75,81,6,7,0,1,6,8,0,1
9.0,2,75,76,6,7,0,1,6,7,0,2
9.0,2,76,82,6,7,0,2,6,8,0,2
9.0,2,77,79,6,7,8,11,6,7,9,11
9.0,2,78,79,6,7,9,10,6,7,9,11
9.0,2,79,103,6,7,9,11,7,7,9,11
9.0,2,79,83,6,7,9,11,6,8,9,11
9.0,2,80,86,6,7,11,1,6,8,11,1
9.0,2,80,75,6,7,11,1,6,7,0,1
9.0,2,81,106,6,8,0,1,7,8,0,1
9.0,2,81,82,6,8,0,1,6,8,0,2
9.0,2,82,107,6,8,0,2,7,8,0,2
9.0,2,84,108,6,8,10,1,7,8,10,1
9.0,2,84,90,6,8,10,1,6,9,10,1
9.0,2,84,86,6,8,10,1,6,8,11,1
9.0,2,85,111,6,8,11,0,7,8,11,0
9.0,2,85,92,6,8,11,0,6,9,11,0
9.0,2,85,86,6,8,11,0,6,8,11,1
9.0,2,86,112,6,8,11,1,7,8,11,1
9.0,2,86,93,6,8,11,1,6,9,11,1
9.0,2,86,81,6,8,11,1,6,8,0,1
9.0,2,86,87,6,8,11,1,6,8,11,2
9.0,2,87,113,6,8,11,2,7,8,11,2
9.0,2,87,94,6,8,11,2,6,9,11,2
9.0,2,87,82,6,8,11,2,6,8,0,2
9.0,2,88,115,6,8,11,6,7,8,11,6
9.0,2,89,92,6,9,10,0,6,9,11,0
9.0,2,89,90,6,9,10,0,6,9,10,1
9.0,2,90,116,6,9,10,1,7,9,10,1
9.0,2,90,93,6,9,10,1,6,9,11,1
9.0,2,90,91,6,9,10,1,6,9,10,2
9.0,2,91,117,6,9,10,2,7,9,10,2
9.0,2,91,94,6,9,10,2,6,9,11,2
9.0,2,92,118,6,9,11,0,7,9,11,0
9.0,2,92,93,6,9,11,0,6,9,11,1
9.0,2,93,119,6,9,11,1,7,9,11,1
9.0,2,93,95,6,9,11,1,6,10,11,1
9.0,2,93,94,6,9,11,1,6,9,11,2
9.0,2,94,120,6,9,11,2,7,9,11,2
9.0,2,94,96,6,9,11,2,6,10,11,2
9.0,2,95,96,6,10,11,1,6,10,11,2
9.0,2,97,99,7,1,4,0,7,2,4,0
9.0,2,97,98,7,1,4,0,7,1,4,1
9.0,2,98,100,7,1,4,1,7,2,4,1
9.0,2,99,123,7,2,4,0,8,2,4,0
9.0,2,99,100,7,2,4,0,7,2,4,1
9.0,2,101,102,7,6,8,11,7,6,9,11
9.0,2,102,103,7,6,9,11,7,7,9,11
9.0,2,104,114,7,7,11,5,7,8,11,5
9.0,2,104,105,7,7,11,5,7,7,11,6
9.0,2,105,115,7,7,11,6,7,8,11,6
9.0,2,106,107,7,8,0,1,7,8,0,2
9.0,2,108,116,7,8,10,1,7,9,10,1
9.0,2,108,112,7,8,10,1,7,8,11,1
9.0,2,108,109,7,8,10,1,7,8,10,2
9.0,2,109,128,7,8,10,2,8,8,10,2
9.0,2,109,117,7,8,10,2,7,9,10,2
9.0,2,109,113,7,8,10,2,7,8,11,2
9.0,2,110,115,7,8,10,6,7,8,11,6
9.0,2,111,118,7,8,11,0,7,9,11,0
9.0,2,111,112,7,8,11,0,7,8,11,1
9.0,2,112,129,7,8,11,1,8,8,11,1
9.0,2,112,119,7,8,11,1,7,9,11,1
9.0,2,112,106,7,8,11,1,7,8,0,1
9.0,2,112,113,7,8,11,1,7,8,11,2
9.0,2,113,130,7,8,11,2,8,8,11,2
9.0,2,113,120,7,8,11,2,7,9,11,2
9.0,2,113,107,7,8,11,2,7,8,0,2
9.0,2,114,115,7,8,11,5,7,8,11,6
9.0,2,115,131,7,8,11,6,8,8,11,6
9.0,2,115,121,7,8,11,6,7,9,11,6
9.0,2,116,119,7,9,10,1,7,9,11,1
9.0,2,116,117,7,9,10,1,7,9,10,2
9.0,2,117,120,7,9,10,2,7,9,11,2
9.0,2,118,119,7,9,11,0,7,9,11,1
