node_id,x,y,z,t,beta,seed,crit_value,degree
0,0,3,9,9,9.0,2,1.665050289890117,0
1,0,3,11,3,9.0,2,1.69450456037426,0
2,0,3,11,11,9.0,2,1.756696053097711,0
3,0,7,0,5,9.0,2,1.8988574950472634,2
4,0,8,0,4,9.0,2,1.992013633503962,3
5,0,8,0,5,9.0,2,2.9739058070782605,6
6,0,8,0,6,9.0,2,2.8741942519704287,3
7,0,8,1,4,9.0,2,1.6158828192908146,2
8,0,8,1,5,9.0,2,1.8718850527722513,3
9,0,9,0,5,9.0,2,2.725029251312305,4
10,0,9,0,6,9.0,2,3.1927467865222696,6
11,0,9,0,7,9.0,2,2.012822406602561,2
12,0,9,1,5,9.0,2,1.6120622079738611,3
13,0,9,1,6,9.0,2,1.7434993921766375,2
14,0,9,9,8,9.0,2,1.965290238019542,0
15,0,10,0,6,9.0,2,1.8581832547880235,1
16,1,1,11,10,9.0,2,1.7553124414697516,1
17,1,2,4,7,9.0,2,1.6804682404397773,0
18,1,6,4,11,9.0,2,1.6175566026010038,2
19,1,6,5,11,9.0,2,1.9156803468550538,2
20,1,7,0,4,9.0,2,1.7399013119107782,3
21,1,7,0,5,9.0,2,2.0568041253332106,5
22,1,7,0,6,9.0,2,1.7662473189230006,2
23,1,8,0,4,9.0,2,1.6335451496102655,3
24,1,8,0,5,9.0,2,2.311553374125983,5
25,1,8,0,6,9.0,2,2.2930338396441656,4
26,1,9,0,5,9.0,2,1.7826637623167891,3
27,1,9,0,6,9.0,2,2.237521458309837,4
28,1,9,0,7,9.0,2,1.7737124554361798,3
29,1,10,0,7,9.0,2,1.6412378260306344,2
30,2,0,11,10,9.0,2,1.8620776902836602,1
31,2,1,0,3,9.0,2,1.7429057218978201,2
32,2,1,11,9,9.0,2,1.7461881040967395,1
33,2,1,11,10,9.0,2,2.391312447702021,5
34,2,1,11,11,9.0,2,1.7279984208629233,1
35,2,2,0,3,9.0,2,1.667866544857171,2
36,2,2,11,10,9.0,2,1.7024703778459107,1
37,2,5,4,11,9.0,2,1.7010404818427372,2
