beta,seed,u_id,v_id,u_x,u_y,u_z,u_t,v_x,v_y,v_z,v_t
11.0,2,0,8,0,0,2,8,0,1,2,8
11.0,2,0,2,0,0,2,8,0,0,3,8
11.0,2,0,1,0,0,2,8,0,0,2,9
11.0,2,1,9,0,0,2,9,0,1,2,9
11.0,2,1,3,0,0,2,9,0,0,3,9
11.0,2,2,10,0,0,3,8,0,1,3,8
11.0,2,2,3,0,0,3,8,0,0,3,9
11.0,2,3,11,0,0,3,9,0,1,3,9
11.0,2,3,5,0,0,3,9,0,0,4,9
11.0,2,3,4,0,0,3,9,0,0,3,10
11.0,2,4,12,0,0,3,10,0,1,3,10
11.0,2,5,13,0,0,4,9,0,1,4,9
11.0,2,6,55,0,0,5,3,1,0,5,3
11.0,2,6,7,0,0,5,3,0,0,6,3
11.0,2,8,10,0,1,2,8,0,1,3,8
11.0,2,8,9,0,1,2,8,0,1,2,9
11.0,2,9,14,0,1,2,9,0,2,2,9
11.0,2,9,11,0,1,2,9,0,1,3,9
11.0,2,10,11,0,1,3,8,0,1,3,9
11.0,2,11,57,0,1,3,9,1,1,3,9
11.0,2,11,15,0,1,3,9,0,2,3,9
11.0,2,11,13,0,1,3,9,0,1,4,9
11.0,2,11,12,0,1,3,9,0,1,3,10
11.0,2,14,15,0,2,2,9,0,2,3,9
11.0,2,17,58,0,6,4,0,1,6,4,0
11.0,2,17,18,0,6,4,0,0,6,5,0
11.0,2,18,19,0,6,5,0,0,6,5,1
11.0,2,19,20,0,6,5,1,0,7,5,1
11.0,2,20,25,0,7,5,1,0,8,5,1
11.0,2,20,21,0,7,5,1,0,7,5,2
11.0,2,21,26,0,7,5,2,0,8,5,2
11.0,2,22,32,0,8,4,1,0,9,4,1
11.0,2,22,25,0,8,4,1,0,8,5,1
11.0,2,22,23,0,8,4,1,0,8,4,2
11.0,2,23,33,0,8,4,2,0,9,4,2
11.0,2,23,26,0,8,4,2,0,8,5,2
11.0,2,23,24,0,8,4,2,0,8,4,3
11.0,2,24,34,0,8,4,3,0,9,4,3
