beta,seed,u_id,v_id,u_x,u_y,u_z,u_t,v_x,v_y,v_z,v_t
15.0,1,0,2,0,0,0,3,0,0,1,3
15.0,1,1,4,0,0,1,2,0,0,2,2
15.0,1,1,2,0,0,1,2,0,0,1,3
15.0,1,2,5,0,0,1,3,0,0,2,3
15.0,1,2,3,0,0,1,3,0,0,1,4
15.0,1,3,6,0,0,1,4,0,0,2,4
15.0,1,4,5,0,0,2,2,0,0,2,3
15.0,1,5,6,0,0,2,3,0,0,2,4
15.0,1,7,10,0,4,4,0,0,5,4,0
15.0,1,8,10,0,5,3,0,0,5,4,0
15.0,1,9,14,0,5,3,3,0,6,3,3
15.0,1,10,16,0,5,4,0,0,6,4,0
15.0,1,10,11,0,5,4,0,0,5,5,0
15.0,1,12,14,0,6,2,3,0,6,3,3
15.0,1,13,14,0,6,3,2,0,6,3,3
15.0,1,14,15,0,6,3,3,0,6,3,4
15.0,1,17,22,2,7,9,1,3,7,9,1
15.0,1,17,19,2,7,9,1,2,8,9,1
15.0,1,18,25,2,8,9,0,3,8,9,0
15.0,1,18,19,2,8,9,0,2,8,9,1
15.0,1,19,26,2,8,9,1,3,8,9,1
15.0,1,20,43,3,5,2,11,4,5,2,11
15.0,1,21,44,3,7,9,0,4,7,9,0
15.0,1,21,25,3,7,9,0,3,8,9,0
15.0,1,21,22,3,7,9,0,3,7,9,1
15.0,1,22,26,3,7,9,1,3,8,9,1
15.0,1,23,46,3,8,8,0,4,8,8,0
15.0,1,23,25,3,8,8,0,3,8,9,0
15.0,1,23,24,3,8,8,0,3,8,8,1
15.0,1,24,26,3,8,8,1,3,8,9,1
15.0,1,25,47,3,8,9,0,4,8,9,0
15.0,1,25,31,3,8,9,0,3,9,9,0
15.0,1,25,27,3,8,9,0,3,8,10,0
15.0,1,25,26,3,8,9,0,3,8,9,1
15.0,1,26,48,3,8,9,1,4,8,9,1
15.0,1,26,32,3,8,9,1,3,9,9,1
15.0,1,26,28,3,8,9,1,3,8,10,1
15.0,1,27,50,3,8,10,0,4,8,10,0
15.0,1,27,28,3,8,10,0,3,8,10,1
15.0,1,29,51,3,8,10,8,4,8,10,8
15.0,1,31,53,3,9,9,0,4,9,9,0
15.0,1,31,32,3,9,9,0,3,9,9,1
15.0,1,33,54,3,9,10,5,4,9,10,5
15.0,1,33,37,3,9,10,5,3,10,10,5
15.0,1,33,35,3,9,10,5,3,9,11,5
15.0,1,34,55,3,9,11,4,4,9,11,4
15.0,1,34,38,3,9,11,4,3,10,11,4
15.0,1,34,35,3,9,11,4,3,9,11,5
15.0,1,35,56,3,9,11,5,4,9,11,5
15.0,1,35,39,3,9,11,5,3,10,11,5
15.0,1,37,58,3,10,10,5,4,10,10,5
15.0,1,37,39,3,10,10,5,3,10,11,5
15.0,1,38,59,3,10,11,4,4,10,11,4
15.0,1,38,39,3,10,11,4,3,10,11,5
15.0,1,39,60,3,10,11,5,4,10,11,5
15.0,1,40,63,4,4,2,11,5,4,2,11
15.0,1,40,43,4,4,2,11,4,5,2,11
15.0,1,41,43,4,5,1,11,4,5,2,11
15.0,1,42,43,4,5,2,10,4,5,2,11
15.0,1,43,64,4,5,2,11,5,5,2,11
15.0,1,44,47,4,7,9,0,4,8,9,0
15.0,1,45,51,4,7,10,8,4,8,10,8
15.0,1,46,47,4,8,8,0,4,8,9,0
15.0,1,47,66,4,8,9,0,5,8,9,0
15.0,1,47,53,4,8,9,0,4,9,9,0
15.0,1,47,50,4,8,9,0,4,8,10,0
15.0,1,47,48,4,8,9,0,4,8,9,1
15.0,1,49,51,4,8,9,8,4,8,10,8
15.0,1,50,67,4,8,10,0,5,8,10,0
15.0,1,52,56,4,8,11,5,4,9,11,5
15.0,1,54,58,4,9,10,5,4,10,10,5
15.0,1,54,56,4,9,10,5,4,9,11,5
15.0,1,55,59,4,9,11,4,4,10,11,4
15.0,1,55,56,4,9,11,4,4,9,11,5
15.0,1,56,60,4,9,11,5,4,10,11,5
15.0,1,56,57,4,9,11,5,4,9,11,6
15.0,1,58,60,4,10,10,5,4,10,11,5
15.0,1,59,60,4,10,11,4,4,10,11,5
15.0,1,61,68,5,0,0,0,6,0,0,0
15.0,1,61,62,5,0,0,0,5,0,0,1
15.0,1,62,69,5,0,0,1,6,0,0,1
15.0,1,63,64,5,4,2,11,5,5,2,11
15.0,1,66,67,5,8,9,0,5,8,10,0
15.0,1,68,79,6,0,0,0,7,0,0,0
15.0,1,68,69,6,0,0,0,6,0,0,1
15.0,1,69,80,6,0,0,1,7,0,0,1
15.0,1,69,70,6,0,0,1,6,0,0,2
15.0,1,71,95,6,3,10,11,7,3,10,11
15.0,1,71,72,6,3,10,11,6,4,10,11
15.0,1,72,98,6,4,10,11,7,4,10,11
15.0,1,72,73,6,4,10,11,6,4,11,11
15.0,1,73,99,6,4,11,11,7,4,11,11
15.0,1,74,75,6,11,2,0,6,11,2,1
15.0,1,76,103,6,11,4,1,7,11,4,1
15.0,1,76,78,6,11,4,1,6,11,5,1
15.0,1,77,104,6,11,5,0,7,11,5,0
15.0,1,77,78,6,11,5,0,6,11,5,1
15.0,1,78,105,6,11,5,1,7,11,5,1
15.0,1,79,80,7,0,0,0,7,0,0,1
15.0,1,81,109,7,0,3,11,8,0,3,11
15.0,1,81,87,7,0,3,11,7,1,3,11
15.0,1,81,83,7,0,3,11,7,0,4,11
15.0,1,82,110,7,0,4,10,8,0,4,10
15.0,1,82,88,7,0,4,10,7,1,4,10
15.0,1,82,84,7,0,4,10,7,0,5,10
15.0,1,82,83,7,0,4,10,7,0,4,11
15.0,1,83,111,7,0,4,11,8,0,4,11
15.0,1,83,89,7,0,4,11,7,1,4,11
15.0,1,83,85,7,0,4,11,7,0,5,11
15.0,1,84,112,7,0,5,10,8,0,5,10
15.0,1,84,90,7,0,5,10,7,1,5,10
15.0,1,84,85,7,0,5,10,7,0,5,11
15.0,1,85,113,7,0,5,11,8,0,5,11
15.0,1,85,91,7,0,5,11,7,1,5,11
15.0,1,87,115,7,1,3,11,8,1,3,11
15.0,1,87,92,7,1,3,11,7,2,3,11
15.0,1,87,89,7,1,3,11,7,1,4,11
15.0,1,88,116,7,1,4,10,8,1,4,10
15.0,1,88,90,7,1,4,10,7,1,5,10
15.0,1,88,89,7,1,4,10,7,1,4,11
15.0,1,89,117,7,1,4,11,8,1,4,11
15.0,1,89,93,7,1,4,11,7,2,4,11
15.0,1,89,91,7,1,4,11,7,1,5,11
15.0,1,90,118,7,1,5,10,8,1,5,10
15.0,1,90,91,7,1,5,10,7,1,5,11
15.0,1,91,119,7,1,5,11,8,1,5,11
15.0,1,91,94,7,1,5,11,7,2,5,11
15.0,1,92,120,7,2,3,11,8,2,3,11
15.0,1,92,93,7,2,3,11,7,2,4,11
15.0,1,93,122,7,2,4,11,8,2,4,11
15.0,1,93,94,7,2,4,11,7,2,5,11
15.0,1,94,123,7,2,5,11,8,2,5,11
15.0,1,95,98,7,3,10,11,7,4,10,11
15.0,1,96,98,7,4,9,11,7,4,10,11
15.0,1,97,98,7,4,10,10,7,4,10,11
15.0,1,98,99,7,4,10,11,7,4,11,11
15.0,1,101,105,7,10,5,1,7,11,5,1
15.0,1,102,104,7,11,4,0,7,11,5,0
15.0,1,102,103,7,11,4,0,7,11,4,1
15.0,1,103,105,7,11,4,1,7,11,5,1
15.0,1,104,125,7,11,5,0,8,11,5,0
15.0,1,104,105,7,11,5,0,7,11,5,1
15.0,1,105,126,7,11,5,1,8,11,5,1
15.0,1,105,107,7,11,5,1,7,11,6,1
15.0,1,105,106,7,11,5,1,7,11,5,2
15.0,1,108,114,8,0,3,10,8,1,3,10
15.0,1,108,110,8,0,3,10,8,0,4,10
15.0,1,108,109,8,0,3,10,8,0,3,11
15.0,1,109,127,8,0,3,11,9,0,3,11
15.0,1,109,115,8,0,3,11,8,1,3,11
15.0,1,109,111,8,0,3,11,8,0,4,11
15.0,1,110,128,8,0,4,10,9,0,4,10
15.0,1,110,116,8,0,4,10,8,1,4,10
15.0,1,110,112,8,0,4,10,8,0,5,10
15.0,1,110,111,8,0,4,10,8,0,4,11
15.0,1,111,129,8,0,4,11,9,0,4,11
15.0,1,111,117,8,0,4,11,8,1,4,11
15.0,1,111,113,8,0,4,11,8,0,5,11
15.0,1,112,130,8,0,5,10,9,0,5,10
15.0,1,112,118,8,0,5,10,8,1,5,10
15.0,1,112,113,8,0,5,10,8,0,5,11
15.0,1,113,131,8,0,5,11,9,0,5,11
15.0,1,113,119,8,0,5,11,8,1,5,11
15.0,1,114,116,8,1,3,10,8,1,4,10
15.0,1,114,115,8,1,3,10,8,1,3,11
15.0,1,115,133,8,1,3,11,9,1,3,11
15.0,1,115,120,8,1,3,11,8,2,3,11
15.0,1,115,117,8,1,3,11,8,1,4,11
15.0,1,116,134,8,1,4,10,9,1,4,10
15.0,1,116,121,8,1,4,10,8,2,4,10
15.0,1,116,118,8,1,4,10,8,1,5,10
15.0,1,116,117,8,1,4,10,8,1,4,11
15.0,1,117,135,8,1,4,11,9,1,4,11
15.0,1,117,122,8,1,4,11,8,2,4,11
15.0,1,117,119,8,1,4,11,8,1,5,11
15.0,1,118,119,8,1,5,10,8,1,5,11
15.0,1,119,136,8,1,5,11,9,1,5,11
15.0,1,119,123,8,1,5,11,8,2,5,11
15.0,1,120,122,8,2,3,11,8,2,4,11
15.0,1,121,122,8,2,4,10,8,2,4,11
15.0,1,122,137,8,2,4,11,9,2,4,11
15.0,1,122,123,8,2,4,11,8,2,5,11
15.0,1,124,138,8,11,3,9,9,11,3,9
15.0,1,125,126,8,11,5,0,8,11,5,1
15.0,1,127,133,9,0,3,11,9,1,3,11
15.0,1,127,129,9,0,3,11,9,0,4,11
15.0,1,128,134,9,0,4,10,9,1,4,10
15.0,1,128,130,9,0,4,10,9,0,5,10
15.0,1,128,129,9,0,4,10,9,0,4,11
15.0,1,129,140,9,0,4,11,10,0,4,11
15.0,1,129,135,9,0,4,11,9,1,4,11
15.0,1,129,131,9,0,4,11,9,0,5,11
15.0,1,130,141,9,0,5,10,10,0,5,10
15.0,1,130,131,9,0,5,10,9,0,5,11
15.0,1,131,142,9,0,5,11,10,0,5,11
15.0,1,131,136,9,0,5,11,9,1,5,11
15.0,1,131,132,9,0,5,11,9,0,6,11
15.0,1,132,144,9,0,6,11,10,0,6,11
15.0,1,133,135,9,1,3,11,9,1,4,11
15.0,1,134,135,9,1,4,10,9,1,4,11
15.0,1,135,137,9,1,4,11,9,2,4,11
15.0,1,135,136,9,1,4,11,9,1,5,11
15.0,1,136,146,9,1,5,11,10,1,5,11
15.0,1,140,157,10,0,4,11,11,0,4,11
15.0,1,140,142,10,0,4,11,10,0,5,11
15.0,1,141,158,10,0,5,10,11,0,5,10
15.0,1,141,143,10,0,5,10,10,0,6,10
15.0,1,141,142,10,0,5,10,10,0,5,11
15.0,1,142,159,10,0,5,11,11,0,5,11
15.0,1,142,146,10,0,5,11,10,1,5,11
15.0,1,142,144,10,0,5,11,10,0,6,11
15.0,1,143,160,10,0,6,10,11,0,6,10
15.0,1,143,144,10,0,6,10,10,0,6,11
15.0,1,144,161,10,0,6,11,11,0,6,11
15.0,1,144,147,10,0,6,11,10,1,6,11
15.0,1,144,145,10,0,6,11,10,0,7,11
15.0,1,145,163,10,0,7,11,11,0,7,11
15.0,1,146,167,10,1,5,11,11,1,5,11
15.0,1,146,147,10,1,5,11,10,1,6,11
15.0,1,147,168,10,1,6,11,11,1,6,11
15.0,1,149,171,10,6,0,8,11,6,0,8
15.0,1,149,152,10,6,0,8,10,7,0,8
15.0,1,149,150,10,6,0,8,10,6,1,8
15.0,1,150,174,10,6,1,8,11,6,1,8
15.0,1,150,154,10,6,1,8,10,7,1,8
15.0,1,151,181,10,7,0,7,11,7,0,7
15.0,1,151,153,10,7,0,7,10,7,1,7
15.0,1,151,152,10,7,0,7,10,7,0,8
15.0,1,152,182,10,7,0,8,11,7,0,8
15.0,1,152,154,10,7,0,8,10,7,1,8
15.0,1,153,184,10,7,1,7,11,7,1,7
15.0,1,153,154,10,7,1,7,10,7,1,8
15.0,1,154,185,10,7,1,8,11,7,1,8
15.0,1,155,164,11,0,0,10,11,1,0,10
15.0,1,156,158,11,0,4,10,11,0,5,10
15.0,1,156,157,11,0,4,10,11,0,4,11
15.0,1,157,165,11,0,4,11,11,1,4,11
15.0,1,157,159,11,0,4,11,11,0,5,11
15.0,1,158,166,11,0,5,10,11,1,5,10
15.0,1,158,160,11,0,5,10,11,0,6,10
15.0,1,158,159,11,0,5,10,11,0,5,11
15.0,1,159,167,11,0,5,11,11,1,5,11
15.0,1,159,161,11,0,5,11,11,0,6,11
15.0,1,160,162,11,0,6,10,11,0,7,10
15.0,1,160,161,11,0,6,10,11,0,6,11
15.0,1,161,168,11,0,6,11,11,1,6,11
15.0,1,161,163,11,0,6,11,11,0,7,11
15.0,1,162,163,11,0,7,10,11,0,7,11
15.0,1,163,169,11,0,7,11,11,1,7,11
15.0,1,165,167,11,1,4,11,11,1,5,11
15.0,1,166,167,11,1,5,10,11,1,5,11
15.0,1,167,168,11,1,5,11,11,1,6,11
15.0,1,168,169,11,1,6,11,11,1,7,11
15.0,1,170,181,11,6,0,7,11,7,0,7
15.0,1,170,173,11,6,0,7,11,6,1,7
15.0,1,170,171,11,6,0,7,11,6,0,8
15.0,1,171,182,11,6,0,8,11,7,0,8
15.0,1,171,174,11,6,0,8,11,6,1,8
15.0,1,171,172,11,6,0,8,11,6,0,9
15.0,1,172,183,11,6,0,9,11,7,0,9
15.0,1,172,175,11,6,0,9,11,6,1,9
15.0,1,173,184,11,6,1,7,11,7,1,7
15.0,1,173,174,11,6,1,7,11,6,1,8
15.0,1,174,185,11,6,1,8,11,7,1,8
15.0,1,174,176,11,6,1,8,11,6,2,8
15.0,1,174,175,11,6,1,8,11,6,1,9
15.0,1,175,186,11,6,1,9,11,7,1,9
15.0,1,176,188,11,6,2,8,11,7,2,8
15.0,1,177,191,11,6,6,0,11,7,6,0
15.0,1,179,193,11,7,0,3,11,8,0,3
15.0,1,179,180,11,7,0,3,11,7,0,4
15.0,1,180,194,11,7,0,4,11,8,0,4
15.0,1,181,195,11,7,0,7,11,8,0,7
15.0,1,181,184,11,7,0,7,11,7,1,7
15.0,1,181,182,11,7,0,7,11,7,0,8
15.0,1,182,196,11,7,0,8,11,8,0,8
15.0,1,182,185,11,7,0,8,11,7,1,8
15.0,1,182,183,11,7,0,8,11,7,0,9
15.0,1,183,186,11,7,0,9,11,7,1,9
15.0,1,184,197,11,7,1,7,11,8,1,7
15.0,1,184,187,11,7,1,7,11,7,2,7
15.0,1,184,185,11,7,1,7,11,7,1,8
15.0,1,185,198,11,7,1,8,11,8,1,8
15.0,1,185,188,11,7,1,8,11,7,2,8
15.0,1,185,186,11,7,1,8,11,7,1,9
15.0,1,186,199,11,7,1,9,11,8,1,9
15.0,1,186,189,11,7,1,9,11,7,2,9
15.0,1,187,188,11,7,2,7,11,7,2,8
15.0,1,188,200,11,7,2,8,11,8,2,8
15.0,1,188,189,11,7,2,8,11,7,2,9
15.0,1,190,202,11,7,5,0,11,8,5,0
15.0,1,190,191,11,7,5,0,11,7,6,0
15.0,1,191,203,11,7,6,0,11,8,6,0
15.0,1,192,193,11,8,0,2,11,8,0,3
15.0,1,193,194,11,8,0,3,11,8,0,4
15.0,1,195,197,11,8,0,7,11,8,1,7
15.0,1,195,196,11,8,0,7,11,8,0,8
15.0,1,196,198,11,8,0,8,11,8,1,8
15.0,1,197,198,11,8,1,7,11,8,1,8
15.0,1,198,200,11,8,1,8,11,8,2,8
15.0,1,198,199,11,8,1,8,11,8,1,9
15.0,1,201,202,11,8,4,0,11,8,5,0
15.0,1,202,203,11,8,5,0,11,8,6,0
15.0,1,204,206,11,10,6,11,11,11,6,11
15.0,1,205,159,11,11,5,11,11,0,5,11
15.0,1,205,206,11,11,5,11,11,11,6,11
15.0,1,206,161,11,11,6,11,11,0,6,11
