node_id,x,y,z,t,beta,seed,crit_value,degree
0,0,0,2,8,11.0,2,1.895638683433666,3
1,0,0,2,9,11.0,2,2.350640567367827,3
2,0,0,3,8,11.0,2,2.2736212807889262,3
3,0,0,3,9,11.0,2,3.083174413037407,5
4,0,0,3,10,11.0,2,1.849576508134088,2
5,0,0,4,9,11.0,2,1.8099623959521454,2
6,0,0,5,3,11.0,2,1.986164572417394,2
7,0,0,6,3,11.0,2,1.8432646615316242,1
8,0,1,2,8,11.0,2,2.080022387969399,3
9,0,1,2,9,11.0,2,2.696575852800872,4
10,0,1,3,8,11.0,2,2.53505200019759,3
11,0,1,3,9,11.0,2,3.4225583332788965,7
12,0,1,3,10,11.0,2,2.092111626833397,2
13,0,1,4,9,11.0,2,1.9996898388779232,2
14,0,2,2,9,11.0,2,2.1504374443363963,2
15,0,2,3,9,11.0,2,2.289511694199749,2
16,0,3,1,11,11.0,2,1.882870299966303,0
17,0,6,4,0,11.0,2,2.1947054344052472,2
18,0,6,5,0,11.0,2,1.7800577442132453,2
19,0,6,5,1,11.0,2,1.8273401379763954,2
20,0,7,5,1,11.0,2,1.9944385829978544,3
21,0,7,5,2,11.0,2,2.2887947788038634,2
22,0,8,4,1,11.0,2,2.2995013661115804,3
23,0,8,4,2,11.0,2,2.8654080914465294,4
24,0,8,4,3,11.0,2,1.905905713892877,3
25,0,8,5,1,11.0,2,2.9948937136570355,5
26,0,8,5,2,11.0,2,4.1310062890264145,7
27,0,8,5,3,11.0,2,2.7590754475797326,4
28,0,8,6,1,11.0,2,1.971805685220671,3
29,0,8,6,2,11.0,2,2.8551957945719706,4
30,0,8,6,3,11.0,2,2.0653800947674217,3
31,0,9,4,0,11.0,2,1.808215680840636,2
32,0,9,4,1,11.0,2,2.8848443038160028,5
33,0,9,4,2,11.0,2,3.7057274545624743,6
34,0,9,4,3,11.0,2,2.3189144860643305,3
35,0,9,5,0,11.0,2,2.2712520598613577,2
36,0,9,5,1,11.0,2,3.8448814626052545,7
37,0,9,5,2,11.0,2,5.190555403541386,7
38,0,9,5,3,11.0,2,3.2735898365391227,5
39,0,9,6,1,11.0,2,2.4056014171932203,3
40,0,9,6,2,11.0,2,3.2719569620221702,5
41,0,9,6,3,11.0,2,2.200057169677569,3
42,0,10,4,1,11.0,2,1.91439806572367,3
43,0,10,4,2,11.0,2,2.302698870190119,3
44,0,10,5,1,11.0,2,2.435144092245057,3
45,0,10,5,2,11.0,2,3.07442328013778,5
46,0,10,5,3,11.0,2,1.9891133208161116,2
47,0,10,6,2,11.0,2,1.9188709455301605,2
48,0,11,8,1,11.0,2,1.954176143009904,1
49,0,11,9,0,11.0,2,2.1705131669534556,2
50,0,11,9,1,11.0,2,2.6308200092448226,4
51,0,11,9,2,11.0,2,2.0618009947093636,1
52,0,11,10,0,11.0,2,1.8852816760684126,3
53,0,11,10,1,11.0,2,1.9756254969990874,2
54,0,11,11,0,11.0,2,1.894126366369457,2
55,1,0,5,3,11.0,2,1.9204761332987708,1
56,1,0,10,7,11.0,2,1.8143128601479184,0
57,1,1,3,9,11.0,2,1.848697991231801,1
58,1,6,4,0,11.0,2,2.052774589990077,1
59,1,8,5,2,11.0,2,2.070664172757024,2
60,1,9,4,2,11.0,2,1.90796300168754,2
61,1,9,5,1,11.0,2,1.8971121686737087,2
62,1,9,5,2,11.0,2,2.547527035677895,4
63,1,11,11,0,11.0,2,1.7751940066183896,1
64,2,3,9,3,11.0,2,2.324213752850123,2
65,2,4,8,3,11.0,2,2.0062423846684303,2
66,2,4,9,2,11.0,2,2.1007682280201676,2
67,2,4,9,3,11.0,2,2.7753354612314487,5
68,2,4,10,3,11.0,2,1.773632270130771,2
69,2,6,0,4,11.0,2,1.819850188070268,0
70,3,3,9,2,11.0,2,1.7988234610443978,2
71,3,3,9,3,11.0,2,2.484569257047595,3
72,3,4,8,3,11.0,2,2.2616636951713787,3
73,3,4,9,2,11.0,2,2.368043599413929,4
74,3,4,9,3,11.0,2,3.1689599546226996,8
75,3,4,9,4,11.0,2,1.9671297442567963,1
76,3,4,10,3,11.0,2,2.142837794062789,2
77,3,5,3,7,11.0,2,1.9433298590111787,1
78,3,5,3,8,11.0,2,1.8601111539077138,1
79,3,5,9,3,11.0,2,2.1037563513871533,1
80,3,7,0,2,11.0,2,1.8231011809086297,3
81,3,7,0,3,11.0,2,1.9206590289783376,2
82,3,7,1,2,11.0,2,1.8720570095549671,3
83,3,7,1,3,11.0,2,1.909780462907958,2
84,3,7,9,11,11.0,2,1.8431471142893234,1
85,3,11,3,4,11.0,2,2.1556410845094454,0
86,4,0,2,4,11.0,2,1.8226727753745942,1
87,4,0,2,5,11.0,2,2.3960700508944774,1
88,4,3,2,9,11.0,2,2.2711918502208053,1
89,4,3,9,6,11.0,2,2.0375992522255584,2
90,4,3,9,7,11.0,2,2.0285588878938996,2
91,4,4,2,9,11.0,2,1.9832852168216557,2
92,4,4,3,9,11.0,2,1.9377381746201772,1
93,4,4,8,3,11.0,2,1.8435347871508785,2
94,4,4,9,2,11.0,2,1.7705020640594753,2
95,4,4,9,3,11.0,2,2.290477830262952,4
96,4,6,8,11,11.0,2,1.8000725170052838,2
97,4,6,9,10,11.0,2,1.884939921332257,2
98,4,6,9,11,11.0,2,2.3622153456477952,5
99,4,6,10,11,11.0,2,2.068777867860848,3
100,4,7,0,1,11.0,2,1.8353599500850946,2
101,4,7,0,2,11.0,2,2.072239565775116,4
102,4,7,1,2,11.0,2,1.8688860122687079,2
103,4,7,8,11,11.0,2,1.8168402647730173,2
104,4,7,9,10,11.0,2,2.077268168283787,3
105,4,7,9,11,11.0,2,2.809109668217712,7
106,4,7,10,11,11.0,2,2.4795608911148426,4
107,4,8,0,1,11.0,2,2.0472929800445123,4
108,4,8,0,2,11.0,2,2.1599987158104286,3
109,4,8,1,1,11.0,2,1.8097175257116347,1
110,4,8,9,11,11.0,2,1.9081381320276949,3
111,4,8,10,11,11.0,2,1.813843712826503,3
112,5,0,0,3,11.0,2,2.060032109451917,3
113,5,0,0,4,11.0,2,1.851679139143721,3
114,5,0,1,3,11.0,2,1.849766569476013,2
115,5,0,1,4,11.0,2,1.9087042690888143,2
116,5,2,9,6,11.0,2,1.851689781401335,1
117,5,3,8,6,11.0,2,1.9600794677413507,1
118,5,3,9,5,11.0,2,1.8289011421740835,1
119,5,3,9,6,11.0,2,2.468458861642955,5
120,5,3,9,7,11.0,2,1.9706049225551863,2
121,5,4,9,3,11.0,2,1.906999463099696,2
122,5,4,10,2,11.0,2,1.8338623857807423,1
123,5,6,9,11,11.0,2,2.0321131908527947,3
124,5,6,10,11,11.0,2,2.111984203161006,3
125,5,7,9,10,11.0,2,1.8927213217653287,3
126,5,7,9,11,11.0,2,2.6201719242103376,5
127,5,7,10,10,11.0,2,1.8254190989633876,2
128,5,7,10,11,11.0,2,2.7209227665967117,5
129,5,8,0,1,11.0,2,1.9796734621556769,2
130,5,8,0,2,11.0,2,2.148973941181677,2
131,5,8,9,11,11.0,2,2.0583371768604577,3
132,5,8,10,11,11.0,2,2.3107844584837745,4
133,5,9,0,6,11.0,2,1.7787636273502263,1
134,6,0,0,3,11.0,2,1.863706247767126,2
135,6,0,0,4,11.0,2,2.0713159344092413,2
136,6,4,9,3,11.0,2,1.7770687650657713,1
137,6,4,10,2,11.0,2,2.0631573243608217,1
138,6,5,9,4,11.0,2,1.7768127295930984,0
139,6,8,10,11,11.0,2,1.7985568409507264,1
140,6,9,0,6,11.0,2,1.9364034796315053,1
141,7,8,0,0,11.0,2,1.7890426954382208,0
142,8,3,0,9,11.0,2,1.8053121867847102,2
143,8,3,0,10,11.0,2,1.830570805680339,1
144,8,4,0,9,11.0,2,1.8227469891001271,1
145,8,11,7,0,11.0,2,1.8786270602723747,0
146,9,0,8,6,11.0,2,2.101819067652147,2
147,9,0,9,6,11.0,2,2.3065591121304734,3
148,9,0,9,7,11.0,2,1.9478904658072513,2
149,9,9,0,11,11.0,2,2.2499513385182945,1
150,10,0,8,5,11.0,2,1.8537764162021428,2
151,10,0,8,6,11.0,2,2.5597084532352468,6
152,10,0,8,7,11.0,2,1.84602118039763,2
153,10,0,9,5,11.0,2,2.2551240275381383,4
154,10,0,9,6,11.0,2,2.8840166236358185,7
155,10,0,9,7,11.0,2,2.2669368363326248,5
156,10,0,10,5,11.0,2,1.8658443270027996,3
157,10,0,10,6,11.0,2,2.1973161336206473,4
158,10,0,10,7,11.0,2,1.96994659177791,3
159,10,1,8,6,11.0,2,1.8128932811836365,2
160,10,1,9,6,11.0,2,2.0596508918950924,2
161,10,7,11,10,11.0,2,1.9476579635807407,2
162,10,8,0,11,11.0,2,2.1129146480415852,3
163,10,8,10,10,11.0,2,1.8519171152912444,3
164,10,8,10,11,11.0,2,1.8009451909723901,3
