node_id,x,y,z,t,beta,seed,crit_value,degree
0,0,0,11,9,12.0,2,2.1308086680130174,0
1,0,1,2,1,12.0,2,2.0402091029005067,0
2,0,3,8,7,12.0,2,2.0262486199940546,0
3,0,6,3,0,12.0,2,2.3715706728243866,2
4,0,6,4,0,12.0,2,2.703200688146514,4
5,0,6,5,0,12.0,2,2.128987971781228,3
6,0,7,2,0,12.0,2,2.474354735017181,3
7,0,7,2,1,12.0,2,2.0201275602189925,3
8,0,7,3,0,12.0,2,3.4291621793786273,5
9,0,7,3,1,12.0,2,2.409608818823605,4
10,0,7,4,0,12.0,2,3.3222812729082807,6
11,0,7,4,1,12.0,2,2.2197896231216387,2
12,0,7,5,0,12.0,2,2.0765494081974194,2
13,0,7,10,9,12.0,2,2.3230724835898084,1
14,0,8,2,0,12.0,2,2.5788783962932995,3
15,0,8,2,1,12.0,2,2.322547556636013,3
16,0,8,3,0,12.0,2,2.663222060827098,4
17,0,8,3,1,12.0,2,2.0446167632904,3
18,0,8,4,0,12.0,2,2.0260086433832742,2
19,0,8,9,2,12.0,2,1.947457894946548,1
20,0,8,9,3,12.0,2,2.2062326602480025,1
21,0,8,9,9,12.0,2,1.9879497231624004,1
22,0,8,10,9,12.0,2,2.8577937358737686,4
23,0,8,10,10,12.0,2,1.961692606164622,1
24,0,8,11,9,12.0,2,2.1720620640921138,1
25,0,9,0,3,12.0,2,2.7925365241479274,2
26,0,9,0,4,12.0,2,2.4914637951591523,2
27,0,10,0,3,12.0,2,3.069788191785834,4
28,0,10,0,4,12.0,2,2.37805118848285,2
29,0,10,1,3,12.0,2,2.1675773162952545,2
30,0,11,0,0,12.0,2,2.3093522641177944,0
31,0,11,0,3,12.0,2,2.5459251664755436,2
32,0,11,1,3,12.0,2,2.4050309254978655,2
33,1,5,5,0,12.0,2,2.1975726229779324,2
34,1,6,4,0,12.0,2,2.222305281234881,3
35,1,6,5,0,12.0,2,2.3573148091717058,3
36,1,7,4,0,12.0,2,2.1360032611208477,2
37,2,2,6,4,12.0,2,2.1003652221828313,2
38,2,2,6,5,12.0,2,1.966112502343055,2
39,2,3,6,4,12.0,2,2.3123835529308217,2
40,2,3,6,5,12.0,2,2.0861655244444757,2
41,2,5,5,0,12.0,2,2.147953334031421,1
42,3,0,2,5,12.0,2,2.059382844431423,1
43,3,0,3,10,12.0,2,2.0834068733179323,1
44,3,0,11,9,12.0,2,1.9418682040213084,0
45,3,1,3,9,12.0,2,1.9824460125153545,1
46,3,1,3,10,12.0,2,2.2581735083775545,2
47,4,0,1,5,12.0,2,2.0825078403402726,1
48,4,0,2,4,12.0,2,2.146525579842752,1
49,4,0,2,5,12.0,2,2.800316661968546,3
50,4,0,5,9,12.0,2,1.9688868581564842,1
51,4,1,4,9,12.0,2,2.0289746589701623,1
52,4,1,5,9,12.0,2,2.089397547411763,2
53,4,10,9,3,12.0,2,2.0082068952250576,2
54,4,10,10,6,12.0,2,2.1619279278432155,2
55,4,11,8,3,12.0,2,2.441312461721528,2
56,4,11,9,3,12.0,2,2.2515817257455644,3
57,4,11,9,6,12.0,2,2.5105653140825606,3
58,4,11,9,7,12.0,2,1.9768433017700682,3
59,4,11,10,5,12.0,2,2.209456239824496,2
60,4,11,10,6,12.0,2,3.4076512813156077,6
61,4,11,10,7,12.0,2,2.547793336145169,4
62,4,11,11,6,12.0,2,2.5824841024081766,3
63,4,11,11,7,12.0,2,1.9826648582265762,3
64,5,5,7,10,12.0,2,1.9328296645021539,1
65,5,10,1,8,12.0,2,1.9501976298671602,2
66,5,10,9,3,12.0,2,2.173238855891091,2
67,5,10,9,6,12.0,2,2.207755984532245,2
68,5,10,10,6,12.0,2,2.7939103764470654,5
69,5,10,10,7,12.0,2,2.272874374184403,2
70,5,10,11,6,12.0,2,2.054133434238612,2
71,5,11,0,8,12.0,2,2.0140466699075272,2
72,5,11,1,7,12.0,2,2.3836092237111313,3
