beta,seed,u_id,v_id,u_x,u_y,u_z,u_t,v_x,v_y,v_z,v_t
10.0,2,0,10,0,0,6,0,0,1,6,0
10.0,2,1,2,0,0,8,7,0,0,8,8
10.0,2,3,15,0,0,9,2,0,1,9,2
10.0,2,4,19,0,0,10,11,0,1,10,11
10.0,2,4,9,0,0,10,11,0,0,11,11
10.0,2,5,20,0,0,11,7,0,1,11,7
10.0,2,5,6,0,0,11,7,0,0,11,8
10.0,2,6,63,0,0,11,8,1,0,11,8
10.0,2,6,21,0,0,11,8,0,1,11,8
10.0,2,6,7,0,0,11,8,0,0,11,9
10.0,2,7,22,0,0,11,9,0,1,11,9
10.0,2,7,8,0,0,11,9,0,0,11,10
10.0,2,8,23,0,0,11,10,0,1,11,10
10.0,2,8,9,0,0,11,10,0,0,11,11
10.0,2,9,64,0,0,11,11,1,0,11,11
10.0,2,9,24,0,0,11,11,0,1,11,11
10.0,2,10,65,0,1,6,0,1,1,6,0
10.0,2,11,26,0,1,8,1,0,2,8,1
10.0,2,11,14,0,1,8,1,0,1,9,1
10.0,2,11,12,0,1,8,1,0,1,8,2
10.0,2,12,27,0,1,8,2,0,2,8,2
10.0,2,12,15,0,1,8,2,0,1,9,2
10.0,2,13,29,0,1,9,0,0,2,9,0
10.0,2,13,14,0,1,9,0,0,1,9,1
10.0,2,14,30,0,1,9,1,0,2,9,1
10.0,2,14,17,0,1,9,1,0,1,10,1
10.0,2,14,15,0,1,9,1,0,1,9,2
10.0,2,15,66,0,1,9,2,1,1,9,2
10.0,2,15,31,0,1,9,2,0,2,9,2
10.0,2,15,18,0,1,9,2,0,1,10,2
10.0,2,15,16,0,1,9,2,0,1,9,3
10.0,2,16,67,0,1,9,3,1,1,9,3
10.0,2,16,32,0,1,9,3,0,2,9,3
10.0,2,17,34,0,1,10,1,0,2,10,1
10.0,2,17,18,0,1,10,1,0,1,10,2
10.0,2,18,35,0,1,10,2,0,2,10,2
10.0,2,19,24,0,1,10,11,0,1,11,11
10.0,2,20,21,0,1,11,7,0,1,11,8
10.0,2,21,22,0,1,11,8,0,1,11,9
10.0,2,22,23,0,1,11,9,0,1,11,10
10.0,2,23,24,0,1,11,10,0,1,11,11
10.0,2,24,68,0,1,11,11,1,1,11,11
