beta,seed,u_id,v_id,u_x,u_y,u_z,u_t,v_x,v_y,v_z,v_t
13.0,1,0,43,0,1,11,4,1,1,11,4
13.0,1,0,4,0,1,11,4,0,2,11,4
13.0,1,1,8,0,2,9,9,0,3,9,9
13.0,1,2,44,0,2,10,4,1,2,10,4
13.0,1,2,4,0,2,10,4,0,2,11,4
13.0,1,3,46,0,2,11,3,1,2,11,3
13.0,1,3,9,0,2,11,3,0,3,11,3
13.0,1,3,4,0,2,11,3,0,2,11,4
13.0,1,4,47,0,2,11,4,1,2,11,4
13.0,1,4,10,0,2,11,4,0,3,11,4
13.0,1,4,5,0,2,11,4,0,2,11,5
13.0,1,5,48,0,2,11,5,1,2,11,5
13.0,1,6,49,0,3,8,8,1,3,8,8
13.0,1,6,16,0,3,8,8,0,4,8,8
13.0,1,6,7,0,3,8,8,0,3,9,8
13.0,1,7,50,0,3,9,8,1,3,9,8
13.0,1,7,18,0,3,9,8,0,4,9,8
13.0,1,7,8,0,3,9,8,0,3,9,9
13.0,1,8,19,0,3,9,9,0,4,9,9
13.0,1,9,52,0,3,11,3,1,3,11,3
13.0,1,9,10,0,3,11,3,0,3,11,4
13.0,1,10,53,0,3,11,4,1,3,11,4
13.0,1,11,24,0,4,2,7,0,5,2,7
13.0,1,11,12,0,4,2,7,0,4,2,8
13.0,1,12,25,0,4,2,8,0,5,2,8
13.0,1,12,14,0,4,2,8,0,4,3,8
13.0,1,12,13,0,4,2,8,0,4,2,9
13.0,1,13,26,0,4,2,9,0,5,2,9
13.0,1,14,28,0,4,3,8,0,5,3,8
13.0,1,15,55,0,4,8,7,1,4,8,7
13.0,1,15,17,0,4,8,7,0,4,9,7
13.0,1,15,16,0,4,8,7,0,4,8,8
13.0,1,16,56,0,4,8,8,1,4,8,8
13.0,1,16,18,0,4,8,8,0,4,9,8
13.0,1,17,57,0,4,9,7,1,4,9,7
13.0,1,17,18,0,4,9,7,0,4,9,8
13.0,1,18,58,0,4,9,8,1,4,9,8
13.0,1,18,30,0,4,9,8,0,5,9,8
13.0,1,18,20,0,4,9,8,0,4,10,8
13.0,1,18,19,0,4,9,8,0,4,9,9
13.0,1,19,59,0,4,9,9,1,4,9,9
13.0,1,20,60,0,4,10,8,1,4,10,8
13.0,1,21,24,0,5,1,7,0,5,2,7
13.0,1,21,22,0,5,1,7,0,5,1,8
13.0,1,22,31,0,5,1,8,0,6,1,8
13.0,1,22,25,0,5,1,8,0,5,2,8
13.0,1,22,23,0,5,1,8,0,5,1,9
13.0,1,23,26,0,5,1,9,0,5,2,9
13.0,1,24,32,0,5,2,7,0,6,2,7
13.0,1,24,27,0,5,2,7,0,5,3,7
13.0,1,24,25,0,5,2,7,0,5,2,8
13.0,1,25,61,0,5,2,8,1,5,2,8
13.0,1,25,33,0,5,2,8,0,6,2,8
13.0,1,25,28,0,5,2,8,0,5,3,8
13.0,1,25,26,0,5,2,8,0,5,2,9
13.0,1,26,62,0,5,2,9,1,5,2,9
13.0,1,26,34,0,5,2,9,0,6,2,9
13.0,1,26,29,0,5,2,9,0,5,3,9
13.0,1,27,28,0,5,3,7,0,5,3,8
13.0,1,28,63,0,5,3,8,1,5,3,8
13.0,1,28,29,0,5,3,8,0,5,3,9
13.0,1,29,64,0,5,3,9,1,5,3,9
13.0,1,30,65,0,5,9,8,1,5,9,8
13.0,1,31,33,0,6,1,8,0,6,2,8
13.0,1,32,33,0,6,2,7,0,6,2,8
13.0,1,33,34,0,6,2,8,0,6,2,9
13.0,1,35,70,0,10,4,9,1,10,4,9
13.0,1,35,36,0,10,4,9,0,10,4,10
13.0,1,36,71,0,10,4,10,1,10,4,10
13.0,1,37,73,0,10,5,4,1,10,5,4
13.0,1,37,40,0,10,5,4,0,11,5,4
13.0,1,37,39,0,10,5,4,0,10,6,4
13.0,1,38,75,0,10,6,3,1,10,6,3
13.0,1,38,39,0,10,6,3,0,10,6,4
13.0,1,39,76,0,10,6,4,1,10,6,4
13.0,1,39,41,0,10,6,4,0,11,6,4
13.0,1,40,80,0,11,5,4,1,11,5,4
13.0,1,40,41,0,11,5,4,0,11,6,4
13.0,1,41,81,0,11,6,4,1,11,6,4
13.0,1,43,47,1,1,11,4,1,2,11,4
13.0,1,44,82,1,2,10,4,2,2,10,4
13.0,1,44,51,1,2,10,4,1,3,10,4
13.0,1,44,47,1,2,10,4,1,2,11,4
13.0,1,44,45,1,2,10,4,1,2,10,5
13.0,1,45,48,1,2,10,5,1,2,11,5
13.0,1,46,83,1,2,11,3,2,2,11,3
13.0,1,46,52,1,2,11,3,1,3,11,3
13.0,1,46,47,1,2,11,3,1,2,11,4
13.0,1,47,84,1,2,11,4,2,2,11,4
13.0,1,47,53,1,2,11,4,1,3,11,4
13.0,1,47,48,1,2,11,4,1,2,11,5
13.0,1,48,85,1,2,11,5,2,2,11,5
13.0,1,48,54,1,2,11,5,1,3,11,5
13.0,1,49,56,1,3,8,8,1,4,8,8
13.0,1,49,50,1,3,8,8,1,3,9,8
13.0,1,50,58,1,3,9,8,1,4,9,8
13.0,1,51,53,1,3,10,4,1,3,11,4
13.0,1,52,53,1,3,11,3,1,3,11,4
13.0,1,53,86,1,3,11,4,2,3,11,4
13.0,1,53,54,1,3,11,4,1,3,11,5
13.0,1,55,57,1,4,8,7,1,4,9,7
13.0,1,55,56,1,4,8,7,1,4,8,8
13.0,1,56,58,1,4,8,8,1,4,9,8
13.0,1,57,58,1,4,9,7,1,4,9,8
13.0,1,58,87,1,4,9,8,2,4,9,8
13.0,1,58,65,1,4,9,8,1,5,9,8
13.0,1,58,60,1,4,9,8,1,4,10,8
13.0,1,58,59,1,4,9,8,1,4,9,9
13.0,1,61,63,1,5,2,8,1,5,3,8
13.0,1,61,62,1,5,2,8,1,5,2,9
13.0,1,62,64,1,5,2,9,1,5,3,9
13.0,1,63,64,1,5,3,8,1,5,3,9
13.0,1,67,88,1,9,4,10,2,9,4,10
13.0,1,67,71,1,9,4,10,1,10,4,10
13.0,1,68,76,1,9,6,4,1,10,6,4
13.0,1,69,90,1,10,3,10,2,10,3,10
13.0,1,69,71,1,10,3,10,1,10,4,10
13.0,1,70,91,1,10,4,9,2,10,4,9
13.0,1,70,71,1,10,4,9,1,10,4,10
13.0,1,71,92,1,10,4,10,2,10,4,10
13.0,1,71,79,1,10,4,10,1,11,4,10
13.0,1,71,74,1,10,4,10,1,10,5,10
13.0,1,71,72,1,10,4,10,1,10,4,11
13.0,1,72,93,1,10,4,11,2,10,4,11
13.0,1,73,80,1,10,5,4,1,11,5,4
13.0,1,73,76,1,10,5,4,1,10,6,4
13.0,1,74,94,1,10,5,10,2,10,5,10
13.0,1,75,76,1,10,6,3,1,10,6,4
13.0,1,76,96,1,10,6,4,2,10,6,4
13.0,1,76,81,1,10,6,4,1,11,6,4
13.0,1,76,78,1,10,6,4,1,10,7,4
13.0,1,76,77,1,10,6,4,1,10,6,5
13.0,1,79,97,1,11,4,10,2,11,4,10
13.0,1,80,81,1,11,5,4,1,11,6,4
13.0,1,82,84,2,2,10,4,2,2,11,4
13.0,1,83,84,2,2,11,3,2,2,11,4
13.0,1,84,86,2,2,11,4,2,3,11,4
13.0,1,84,85,2,2,11,4,2,2,11,5
13.0,1,88,92,2,9,4,10,2,10,4,10
13.0,1,88,89,2,9,4,10,2,9,4,11
13.0,1,89,93,2,9,4,11,2,10,4,11
13.0,1,90,92,2,10,3,10,2,10,4,10
13.0,1,91,92,2,10,4,9,2,10,4,10
