beta,seed,u_id,v_id,u_x,u_y,u_z,u_t,v_x,v_y,v_z,v_t
13.0,2,0,2,0,0,3,11,0,0,4,11
13.0,2,1,2,0,0,4,10,0,0,4,11
13.0,2,2,30,0,0,4,11,1,0,4,11
13.0,2,2,6,0,0,4,11,0,1,4,11
13.0,2,2,3,0,0,4,11,0,0,5,11
13.0,2,4,7,0,0,11,5,0,1,11,5
13.0,2,4,5,0,0,11,5,0,0,11,6
13.0,2,5,8,0,0,11,6,0,1,11,6
13.0,2,7,8,0,1,11,5,0,1,11,6
13.0,2,9,14,0,6,0,5,0,7,0,5
13.0,2,10,17,0,6,2,11,0,7,2,11
13.0,2,10,11,0,6,2,11,0,6,3,11
13.0,2,11,32,0,6,3,11,1,6,3,11
13.0,2,11,19,0,6,3,11,0,7,3,11
13.0,2,11,12,0,6,3,11,0,6,4,11
13.0,2,13,14,0,7,0,4,0,7,0,5
13.0,2,15,17,0,7,1,11,0,7,2,11
13.0,2,16,18,0,7,2,10,0,7,3,10
13.0,2,16,17,0,7,2,10,0,7,2,11
13.0,2,17,35,0,7,2,11,1,7,2,11
13.0,2,17,20,0,7,2,11,0,8,2,11
13.0,2,17,19,0,7,2,11,0,7,3,11
13.0,2,18,19,0,7,3,10,0,7,3,11
13.0,2,19,36,0,7,3,11,1,7,3,11
13.0,2,19,21,0,7,3,11,0,8,3,11
13.0,2,20,21,0,8,2,11,0,8,3,11
13.0,2,22,23,0,8,4,2,0,8,5,2
13.0,2,23,37,0,8,5,2,1,8,5,2
13.0,2,24,39,0,8,10,11,1,8,10,11
13.0,2,25,42,0,9,9,5,1,9,9,5
13.0,2,26,28,0,10,10,0,0,11,10,0
13.0,2,27,28,0,11,9,0,0,11,10,0
13.0,2,28,29,0,11,10,0,0,11,11,0
13.0,2,31,46,1,5,11,0,2,5,11,0
13.0,2,31,33,1,5,11,0,1,6,11,0
13.0,2,32,36,1,6,3,11,1,7,3,11
13.0,2,33,50,1,6,11,0,2,6,11,0
13.0,2,33,34,1,6,11,0,1,6,11,1
13.0,2,35,36,1,7,2,11,1,7,3,11
13.0,2,38,42,1,8,9,5,1,9,9,5
13.0,2,40,42,1,9,8,5,1,9,9,5
13.0,2,41,42,1,9,9,4,1,9,9,5
13.0,2,43,56,2,4,11,0,3,4,11,0
13.0,2,43,46,2,4,11,0,2,5,11,0
13.0,2,44,48,2,5,0,9,2,6,0,9
13.0,2,45,57,2,5,10,0,3,5,10,0
13.0,2,45,46,2,5,10,0,2,5,11,0
13.0,2,46,58,2,5,11,0,3,5,11,0
13.0,2,46,50,2,5,11,0,2,6,11,0
13.0,2,47,59,2,6,0,8,3,6,0,8
13.0,2,47,51,2,6,0,8,2,7,0,8
13.0,2,47,48,2,6,0,8,2,6,0,9
13.0,2,48,60,2,6,0,9,3,6,0,9
13.0,2,48,52,2,6,0,9,2,7,0,9
13.0,2,48,49,2,6,0,9,2,6,0,10
13.0,2,49,61,2,6,0,10,3,6,0,10
13.0,2,50,62,2,6,11,0,3,6,11,0
13.0,2,51,63,2,7,0,8,3,7,0,8
13.0,2,51,52,2,7,0,8,2,7,0,9
13.0,2,52,64,2,7,0,9,3,7,0,9
