beta,seed,u_id,v_id,u_x,u_y,u_z,u_t,v_x,v_y,v_z,v_t
15.0,2,0,3,0,4,0,9,1,4,0,9
15.0,2,1,2,0,11,11,6,0,11,11,7
15.0,2,3,4,1,4,0,9,1,5,0,9
15.0,2,4,5,1,5,0,9,1,5,0,10
15.0,2,5,6,1,5,0,10,1,5,0,11
15.0,2,8,9,2,5,1,8,2,5,1,9
15.0,2,10,23,2,9,4,0,3,9,4,0
15.0,2,10,12,2,9,4,0,2,10,4,0
15.0,2,10,11,2,9,4,0,2,9,5,0
15.0,2,11,24,2,9,5,0,3,9,5,0
15.0,2,11,13,2,9,5,0,2,10,5,0
15.0,2,12,27,2,10,4,0,3,10,4,0
15.0,2,12,13,2,10,4,0,2,10,5,0
15.0,2,13,28,2,10,5,0,3,10,5,0
15.0,2,13,15,2,10,5,0,2,11,5,0
15.0,2,13,14,2,10,5,0,2,10,6,0
15.0,2,14,30,2,10,6,0,3,10,6,0
15.0,2,15,32,2,11,5,0,3,11,5,0
15.0,2,16,34,3,2,0,0,4,2,0,0
15.0,2,17,42,3,7,8,2,4,7,8,2
15.0,2,17,18,3,7,8,2,3,8,8,2
15.0,2,18,47,3,8,8,2,4,8,8,2
15.0,2,18,20,3,8,8,2,3,8,9,2
15.0,2,18,19,3,8,8,2,3,8,8,3
15.0,2,19,48,3,8,8,3,4,8,8,3
15.0,2,19,21,3,8,8,3,3,8,9,3
15.0,2,20,49,3,8,9,2,4,8,9,2
15.0,2,20,21,3,8,9,2,3,8,9,3
15.0,2,21,50,3,8,9,3,4,8,9,3
15.0,2,21,22,3,8,9,3,3,8,10,3
15.0,2,23,27,3,9,4,0,3,10,4,0
15.0,2,23,24,3,9,4,0,3,9,5,0
15.0,2,24,51,3,9,5,0,4,9,5,0
15.0,2,24,28,3,9,5,0,3,10,5,0
15.0,2,24,26,3,9,5,0,3,9,6,0
15.0,2,24,25,3,9,5,0,3,9,5,1
15.0,2,25,29,3,9,5,1,3,10,5,1
15.0,2,26,30,3,9,6,0,3,10,6,0
15.0,2,27,52,3,10,4,0,4,10,4,0
15.0,2,27,31,3,10,4,0,3,11,4,0
15.0,2,27,28,3,10,4,0,3,10,5,0
15.0,2,28,53,3,10,5,0,4,10,5,0
15.0,2,28,32,3,10,5,0,3,11,5,0
15.0,2,28,30,3,10,5,0,3,10,6,0
15.0,2,28,29,3,10,5,0,3,10,5,1
15.0,2,30,54,3,10,6,0,4,10,6,0
15.0,2,30,33,3,10,6,0,3,11,6,0
15.0,2,31,32,3,11,4,0,3,11,5,0
15.0,2,32,56,3,11,5,0,4,11,5,0
15.0,2,32,33,3,11,5,0,3,11,6,0
15.0,2,35,74,4,5,8,2,5,5,8,2
15.0,2,35,38,4,5,8,2,4,6,8,2
15.0,2,36,76,4,6,7,2,5,6,7,2
15.0,2,36,40,4,6,7,2,4,7,7,2
15.0,2,36,38,4,6,7,2,4,6,8,2
15.0,2,37,78,4,6,8,1,5,6,8,1
15.0,2,37,41,4,6,8,1,4,7,8,1
15.0,2,37,38,4,6,8,1,4,6,8,2
15.0,2,38,79,4,6,8,2,5,6,8,2
15.0,2,38,42,4,6,8,2,4,7,8,2
15.0,2,38,39,4,6,8,2,4,6,8,3
15.0,2,39,80,4,6,8,3,5,6,8,3
15.0,2,39,43,4,6,8,3,4,7,8,3
15.0,2,40,82,4,7,7,2,5,7,7,2
15.0,2,40,45,4,7,7,2,4,8,7,2
15.0,2,40,42,4,7,7,2,4,7,8,2
15.0,2,41,83,4,7,8,1,5,7,8,1
15.0,2,41,46,4,7,8,1,4,8,8,1
15.0,2,41,42,4,7,8,1,4,7,8,2
15.0,2,42,84,4,7,8,2,5,7,8,2
15.0,2,42,47,4,7,8,2,4,8,8,2
15.0,2,42,44,4,7,8,2,4,7,9,2
15.0,2,42,43,4,7,8,2,4,7,8,3
15.0,2,43,85,4,7,8,3,5,7,8,3
15.0,2,43,48,4,7,8,3,4,8,8,3
15.0,2,44,86,4,7,9,2,5,7,9,2
15.0,2,44,49,4,7,9,2,4,8,9,2
15.0,2,45,47,4,8,7,2,4,8,8,2
15.0,2,46,47,4,8,8,1,4,8,8,2
15.0,2,47,87,4,8,8,2,5,8,8,2
15.0,2,47,49,4,8,8,2,4,8,9,2
15.0,2,47,48,4,8,8,2,4,8,8,3
15.0,2,48,50,4,8,8,3,4,8,9,3
15.0,2,49,50,4,8,9,2,4,8,9,3
15.0,2,51,53,4,9,5,0,4,10,5,0
15.0,2,52,53,4,10,4,0,4,10,5,0
15.0,2,53,56,4,10,5,0,4,11,5,0
15.0,2,53,54,4,10,5,0,4,10,6,0
15.0,2,55,89,4,11,4,11,5,11,4,11
15.0,2,57,58,5,0,6,0,5,0,7,0
15.0,2,58,91,5,0,7,0,6,0,7,0
15.0,2,58,59,5,0,7,0,5,0,8,0
15.0,2,60,93,5,2,0,3,6,2,0,3
15.0,2,60,64,5,2,0,3,5,3,0,3
15.0,2,60,61,5,2,0,3,5,2,0,4
15.0,2,61,94,5,2,0,4,6,2,0,4
15.0,2,61,65,5,2,0,4,5,3,0,4
15.0,2,61,62,5,2,0,4,5,2,0,5
15.0,2,62,95,5,2,0,5,6,2,0,5
15.0,2,62,66,5,2,0,5,5,3,0,5
15.0,2,63,68,5,3,0,1,5,3,1,1
15.0,2,64,98,5,3,0,3,6,3,0,3
15.0,2,64,70,5,3,0,3,5,4,0,3
15.0,2,64,65,5,3,0,3,5,3,0,4
15.0,2,65,99,5,3,0,4,6,3,0,4
15.0,2,65,71,5,3,0,4,5,4,0,4
15.0,2,65,69,5,3,0,4,5,3,1,4
15.0,2,65,66,5,3,0,4,5,3,0,5
15.0,2,66,100,5,3,0,5,6,3,0,5
15.0,2,67,68,5,3,1,0,5,3,1,1
15.0,2,69,102,5,3,1,4,6,3,1,4
15.0,2,70,103,5,4,0,3,6,4,0,3
15.0,2,70,71,5,4,0,3,5,4,0,4
15.0,2,71,104,5,4,0,4,6,4,0,4
15.0,2,72,76,5,5,7,2,5,6,7,2
15.0,2,72,74,5,5,7,2,5,5,8,2
15.0,2,73,78,5,5,8,1,5,6,8,1
15.0,2,73,74,5,5,8,1,5,5,8,2
15.0,2,74,106,5,5,8,2,6,5,8,2
15.0,2,74,79,5,5,8,2,5,6,8,2
15.0,2,75,78,5,6,7,1,5,6,8,1
15.0,2,75,76,5,6,7,1,5,6,7,2
15.0,2,76,107,5,6,7,2,6,6,7,2
15.0,2,76,82,5,6,7,2,5,7,7,2
15.0,2,76,79,5,6,7,2,5,6,8,2
15.0,2,76,77,5,6,7,2,5,6,7,3
15.0,2,77,80,5,6,7,3,5,6,8,3
15.0,2,78,108,5,6,8,1,6,6,8,1
15.0,2,78,83,5,6,8,1,5,7,8,1
15.0,2,78,79,5,6,8,1,5,6,8,2
15.0,2,79,109,5,6,8,2,6,6,8,2
15.0,2,79,84,5,6,8,2,5,7,8,2
15.0,2,79,81,5,6,8,2,5,6,9,2
15.0,2,79,80,5,6,8,2,5,6,8,3
15.0,2,80,85,5,6,8,3,5,7,8,3
15.0,2,81,110,5,6,9,2,6,6,9,2
15.0,2,81,86,5,6,9,2,5,7,9,2
15.0,2,82,84,5,7,7,2,5,7,8,2
15.0,2,83,84,5,7,8,1,5,7,8,2
15.0,2,84,111,5,7,8,2,6,7,8,2
15.0,2,84,87,5,7,8,2,5,8,8,2
15.0,2,84,86,5,7,8,2,5,7,9,2
15.0,2,84,85,5,7,8,2,5,7,8,3
15.0,2,89,113,5,11,4,11,6,11,4,11
15.0,2,90,116,5,11,11,10,6,11,11,10
15.0,2,92,94,6,1,0,4,6,2,0,4
15.0,2,93,119,6,2,0,3,7,2,0,3
15.0,2,93,98,6,2,0,3,6,3,0,3
15.0,2,93,94,6,2,0,3,6,2,0,4
15.0,2,94,120,6,2,0,4,7,2,0,4
15.0,2,94,99,6,2,0,4,6,3,0,4
15.0,2,94,96,6,2,0,4,6,2,1,4
15.0,2,94,95,6,2,0,4,6,2,0,5
15.0,2,95,121,6,2,0,5,7,2,0,5
15.0,2,95,100,6,2,0,5,6,3,0,5
15.0,2,96,102,6,2,1,4,6,3,1,4
15.0,2,97,98,6,3,0,2,6,3,0,3
15.0,2,98,122,6,3,0,3,7,3,0,3
15.0,2,98,103,6,3,0,3,6,4,0,3
15.0,2,98,101,6,3,0,3,6,3,1,3
15.0,2,98,99,6,3,0,3,6,3,0,4
15.0,2,99,123,6,3,0,4,7,3,0,4
15.0,2,99,104,6,3,0,4,6,4,0,4
15.0,2,99,102,6,3,0,4,6,3,1,4
15.0,2,99,100,6,3,0,4,6,3,0,5
15.0,2,100,124,6,3,0,5,7,3,0,5
15.0,2,100,105,6,3,0,5,6,4,0,5
15.0,2,101,102,6,3,1,3,6,3,1,4
15.0,2,103,104,6,4,0,3,6,4,0,4
15.0,2,104,125,6,4,0,4,7,4,0,4
15.0,2,104,105,6,4,0,4,6,4,0,5
15.0,2,106,109,6,5,8,2,6,6,8,2
15.0,2,107,109,6,6,7,2,6,6,8,2
15.0,2,108,109,6,6,8,1,6,6,8,2
15.0,2,109,111,6,6,8,2,6,7,8,2
15.0,2,109,110,6,6,8,2,6,6,9,2
15.0,2,110,126,6,6,9,2,7,6,9,2
15.0,2,112,116,6,10,11,10,6,11,11,10
15.0,2,114,116,6,11,10,10,6,11,11,10
15.0,2,115,116,6,11,11,9,6,11,11,10
15.0,2,116,127,6,11,11,10,7,11,11,10
15.0,2,116,117,6,11,11,10,6,11,11,11
15.0,2,119,122,7,2,0,3,7,3,0,3
15.0,2,119,120,7,2,0,3,7,2,0,4
15.0,2,120,123,7,2,0,4,7,3,0,4
15.0,2,120,121,7,2,0,4,7,2,0,5
15.0,2,121,124,7,2,0,5,7,3,0,5
15.0,2,122,123,7,3,0,3,7,3,0,4
15.0,2,123,125,7,3,0,4,7,4,0,4
15.0,2,123,124,7,3,0,4,7,3,0,5
15.0,2,128,130,8,0,8,4,8,0,9,4
15.0,2,129,130,8,0,9,3,8,0,9,4
15.0,2,130,149,8,0,9,4,9,0,9,4
15.0,2,130,135,8,0,9,4,8,1,9,4
15.0,2,130,131,8,0,9,4,8,0,10,4
15.0,2,131,150,8,0,10,4,9,0,10,4
15.0,2,131,132,8,0,10,4,8,0,10,5
15.0,2,132,151,8,0,10,5,9,0,10,5
15.0,2,132,133,8,0,10,5,8,0,11,5
15.0,2,133,153,8,0,11,5,9,0,11,5
15.0,2,133,136,8,0,11,5,8,1,11,5
15.0,2,133,134,8,0,11,5,8,0,11,6
15.0,2,134,154,8,0,11,6,9,0,11,6
15.0,2,134,137,8,0,11,6,8,1,11,6
15.0,2,135,155,8,1,9,4,9,1,9,4
15.0,2,135,138,8,1,9,4,8,2,9,4
15.0,2,136,158,8,1,11,5,9,1,11,5
