node_id,x,y,z,t,beta,seed,crit_value,degree
0,0,0,2,8,10.0,1,2.0537616248236508,1
1,0,0,2,9,10.0,1,2.09629957420514,1
2,0,1,2,3,10.0,1,2.1423490384394746,3
3,0,1,2,4,10.0,1,2.3394192719753337,3
4,0,1,3,3,10.0,1,2.186761320545368,4
5,0,1,3,4,10.0,1,2.3531390420928,3
6,0,2,2,3,10.0,1,1.9180578678182683,3
7,0,2,2,4,10.0,1,2.359669499937246,4
8,0,2,3,3,10.0,1,2.364292020844056,4
9,0,2,3,4,10.0,1,3.0079417538077826,7
10,0,2,3,5,10.0,1,2.077388760960996,2
11,0,2,4,4,10.0,1,2.1052651798005586,2
12,0,3,2,4,10.0,1,2.2223988583340915,3
13,0,3,3,3,10.0,1,2.428499855048125,3
14,0,3,3,4,10.0,1,3.2963075257000187,7
15,0,3,3,5,10.0,1,2.291546208136464,3
16,0,3,4,4,10.0,1,2.3866414991843805,4
17,0,4,2,4,10.0,1,2.0667355215268617,2
18,0,4,3,3,10.0,1,2.3196974138717326,2
19,0,4,3,4,10.0,1,3.005252130669169,5
20,0,4,3,5,10.0,1,2.0649766447371345,2
21,0,4,4,4,10.0,1,2.1838681289923128,2
22,0,7,4,6,10.0,1,2.1676248065968204,2
23,0,7,5,6,10.0,1,1.9123289860586266,2
24,0,10,7,1,10.0,1,2.081186017536272,0
25,1,1,3,3,10.0,1,1.889264791079032,1
26,1,2,3,4,10.0,1,1.9172621363141245,2
27,1,3,3,4,10.0,1,2.0011594928019893,2
28,1,4,2,11,10.0,1,1.9898670301279033,1
29,1,6,4,6,10.0,1,2.1691329903438574,2
30,1,7,3,6,10.0,1,2.1260947429845327,2
31,1,7,4,5,10.0,1,2.0342657312757875,2
32,1,7,4,6,10.0,1,2.8330599416951507,8
33,1,7,4,7,10.0,1,1.8476952640848874,2
34,1,7,5,6,10.0,1,2.0860101660248036,3
35,1,8,4,6,10.0,1,1.848722233810371,2
36,2,1,11,4,10.0,1,1.8444693162247223,1
37,2,4,2,10,10.0,1,2.0127868512940825,2
38,2,4,2,11,10.0,1,2.457345899475266,3
39,2,5,2,10,10.0,1,1.9215253893874558,2
40,2,5,2,11,10.0,1,2.0061228750969273,2
41,2,6,3,6,10.0,1,2.007257528732932,2
42,2,6,4,5,10.0,1,1.8721462018508024,2
