beta,seed,u_id,v_id,u_x,u_y,u_z,u_t,v_x,v_y,v_z,v_t
12.0,1,2,6,0,8,0,8,0,9,0,8
12.0,1,2,3,0,8,0,8,0,8,0,9
12.0,1,3,7,0,8,0,9,0,9,0,9
12.0,1,3,4,0,8,0,9,0,8,1,9
12.0,1,5,6,0,9,0,7,0,9,0,8
12.0,1,6,7,0,9,0,8,0,9,0,9
12.0,1,8,26,0,9,3,11,1,9,3,11
12.0,1,8,11,0,9,3,11,0,10,3,11
12.0,1,8,9,0,9,3,11,0,9,4,11
12.0,1,9,28,0,9,4,11,1,9,4,11
12.0,1,9,13,0,9,4,11,0,10,4,11
12.0,1,11,30,0,10,3,11,1,10,3,11
12.0,1,11,13,0,10,3,11,0,10,4,11
12.0,1,12,31,0,10,4,10,1,10,4,10
12.0,1,12,13,0,10,4,10,0,10,4,11
12.0,1,13,32,0,10,4,11,1,10,4,11
12.0,1,13,15,0,10,4,11,0,11,4,11
12.0,1,13,14,0,10,4,11,0,10,5,11
12.0,1,14,33,0,10,5,11,1,10,5,11
12.0,1,15,36,0,11,4,11,1,11,4,11
12.0,1,16,40,1,1,7,6,2,1,7,6
12.0,1,16,19,1,1,7,6,1,2,7,6
12.0,1,17,44,1,2,6,6,2,2,6,6
12.0,1,17,22,1,2,6,6,1,3,6,6
12.0,1,17,19,1,2,6,6,1,2,7,6
12.0,1,18,46,1,2,7,5,2,2,7,5
12.0,1,18,19,1,2,7,5,1,2,7,6
12.0,1,19,47,1,2,7,6,2,2,7,6
12.0,1,19,23,1,2,7,6,1,3,7,6
12.0,1,19,21,1,2,7,6,1,2,8,6
12.0,1,19,20,1,2,7,6,1,2,7,7
12.0,1,20,48,1,2,7,7,2,2,7,7
12.0,1,20,24,1,2,7,7,1,3,7,7
12.0,1,21,51,1,2,8,6,2,2,8,6
12.0,1,22,53,1,3,6,6,2,3,6,6
12.0,1,22,23,1,3,6,6,1,3,7,6
12.0,1,23,55,1,3,7,6,2,3,7,6
12.0,1,23,24,1,3,7,6,1,3,7,7
12.0,1,24,56,1,3,7,7,2,3,7,7
12.0,1,25,61,1,7,5,0,2,7,5,0
12.0,1,26,30,1,9,3,11,1,10,3,11
12.0,1,26,28,1,9,3,11,1,9,4,11
12.0,1,27,31,1,9,4,10,1,10,4,10
12.0,1,27,28,1,9,4,10,1,9,4,11
12.0,1,28,32,1,9,4,11,1,10,4,11
12.0,1,30,65,1,10,3,11,2,10,3,11
12.0,1,30,34,1,10,3,11,1,11,3,11
12.0,1,30,32,1,10,3,11,1,10,4,11
12.0,1,31,35,1,10,4,10,1,11,4,10
12.0,1,31,32,1,10,4,10,1,10,4,11
12.0,1,32,66,1,10,4,11,2,10,4,11
12.0,1,32,36,1,10,4,11,1,11,4,11
12.0,1,32,33,1,10,4,11,1,10,5,11
12.0,1,34,36,1,11,3,11,1,11,4,11
12.0,1,35,36,1,11,4,10,1,11,4,11
12.0,1,36,67,1,11,4,11,2,11,4,11
12.0,1,38,44,2,1,6,6,2,2,6,6
12.0,1,38,40,2,1,6,6,2,1,7,6
12.0,1,39,46,2,1,7,5,2,2,7,5
12.0,1,39,40,2,1,7,5,2,1,7,6
12.0,1,40,47,2,1,7,6,2,2,7,6
12.0,1,40,42,2,1,7,6,2,1,8,6
12.0,1,40,41,2,1,7,6,2,1,7,7
12.0,1,41,48,2,1,7,7,2,2,7,7
12.0,1,42,51,2,1,8,6,2,2,8,6
12.0,1,43,46,2,2,6,5,2,2,7,5
12.0,1,43,44,2,2,6,5,2,2,6,6
12.0,1,44,53,2,2,6,6,2,3,6,6
12.0,1,44,47,2,2,6,6,2,2,7,6
12.0,1,44,45,2,2,6,6,2,2,6,7
12.0,1,45,54,2,2,6,7,2,3,6,7
12.0,1,45,48,2,2,6,7,2,2,7,7
12.0,1,46,69,2,2,7,5,3,2,7,5
12.0,1,46,50,2,2,7,5,2,2,8,5
12.0,1,46,47,2,2,7,5,2,2,7,6
12.0,1,47,70,2,2,7,6,3,2,7,6
12.0,1,47,55,2,2,7,6,2,3,7,6
12.0,1,47,51,2,2,7,6,2,2,8,6
12.0,1,47,48,2,2,7,6,2,2,7,7
12.0,1,48,71,2,2,7,7,3,2,7,7
12.0,1,48,56,2,2,7,7,2,3,7,7
12.0,1,48,52,2,2,7,7,2,2,8,7
12.0,1,48,49,2,2,7,7,2,2,7,8
12.0,1,49,57,2,2,7,8,2,3,7,8
12.0,1,50,51,2,2,8,5,2,2,8,6
12.0,1,51,58,2,2,8,6,2,3,8,6
12.0,1,51,52,2,2,8,6,2,2,8,7
12.0,1,52,59,2,2,8,7,2,3,8,7
12.0,1,53,55,2,3,6,6,2,3,7,6
12.0,1,53,54,2,3,6,6,2,3,6,7
12.0,1,54,56,2,3,6,7,2,3,7,7
12.0,1,55,58,2,3,7,6,2,3,8,6
12.0,1,55,56,2,3,7,6,2,3,7,7
12.0,1,56,72,2,3,7,7,3,3,7,7
12.0,1,56,59,2,3,7,7,2,3,8,7
12.0,1,56,57,2,3,7,7,2,3,7,8
12.0,1,58,59,2,3,8,6,2,3,8,7
12.0,1,60,75,2,4,11,7,3,4,11,7
12.0,1,61,63,2,7,5,0,2,7,6,0
12.0,1,61,62,2,7,5,0,2,7,5,1
12.0,1,62,64,2,7,5,1,2,7,6,1
12.0,1,63,64,2,7,6,0,2,7,6,1
12.0,1,65,66,2,10,3,11,2,10,4,11
12.0,1,66,67,2,10,4,11,2,11,4,11
12.0,1,69,70,3,2,7,5,3,2,7,6
12.0,1,70,71,3,2,7,6,3,2,7,7
12.0,1,71,72,3,2,7,7,3,3,7,7
12.0,1,73,75,3,3,11,7,3,4,11,7
12.0,1,74,75,3,4,11,6,3,4,11,7
12.0,1,75,80,3,4,11,7,4,4,11,7
12.0,1,75,77,3,4,11,7,3,5,11,7
12.0,1,75,76,3,4,11,7,3,4,11,8
12.0,1,81,95,4,6,11,4,5,6,11,4
12.0,1,81,85,4,6,11,4,4,7,11,4
12.0,1,81,82,4,6,11,4,4,6,11,5
12.0,1,82,96,4,6,11,5,5,6,11,5
12.0,1,82,86,4,6,11,5,4,7,11,5
12.0,1,82,83,4,6,11,5,4,6,11,6
12.0,1,83,97,4,6,11,6,5,6,11,6
12.0,1,83,87,4,6,11,6,4,7,11,6
12.0,1,84,99,4,7,10,5,5,7,10,5
12.0,1,84,86,4,7,10,5,4,7,11,5
12.0,1,85,101,4,7,11,4,5,7,11,4
12.0,1,85,89,4,7,11,4,4,8,11,4
12.0,1,85,86,4,7,11,4,4,7,11,5
12.0,1,86,102,4,7,11,5,5,7,11,5
12.0,1,86,90,4,7,11,5,4,8,11,5
12.0,1,86,87,4,7,11,5,4,7,11,6
12.0,1,87,103,4,7,11,6,5,7,11,6
12.0,1,87,91,4,7,11,6,4,8,11,6
12.0,1,89,105,4,8,11,4,5,8,11,4
12.0,1,89,90,4,8,11,4,4,8,11,5
12.0,1,90,106,4,8,11,5,5,8,11,5
12.0,1,90,91,4,8,11,5,4,8,11,6
12.0,1,91,107,4,8,11,6,5,8,11,6
12.0,1,94,99,5,6,10,5,5,7,10,5
12.0,1,94,96,5,6,10,5,5,6,11,5
12.0,1,95,109,5,6,11,4,6,6,11,4
12.0,1,95,101,5,6,11,4,5,7,11,4
12.0,1,95,96,5,6,11,4,5,6,11,5
12.0,1,96,110,5,6,11,5,6,6,11,5
12.0,1,96,102,5,6,11,5,5,7,11,5
12.0,1,96,97,5,6,11,5,5,6,11,6
12.0,1,97,111,5,6,11,6,6,6,11,6
12.0,1,97,103,5,6,11,6,5,7,11,6
12.0,1,98,101,5,7,10,4,5,7,11,4
12.0,1,98,99,5,7,10,4,5,7,10,5
12.0,1,99,112,5,7,10,5,6,7,10,5
12.0,1,99,104,5,7,10,5,5,8,10,5
12.0,1,99,102,5,7,10,5,5,7,11,5
12.0,1,99,100,5,7,10,5,5,7,10,6
12.0,1,100,103,5,7,10,6,5,7,11,6
12.0,1,101,113,5,7,11,4,6,7,11,4
12.0,1,101,105,5,7,11,4,5,8,11,4
12.0,1,101,102,5,7,11,4,5,7,11,5
12.0,1,102,114,5,7,11,5,6,7,11,5
12.0,1,102,106,5,7,11,5,5,8,11,5
12.0,1,102,103,5,7,11,5,5,7,11,6
12.0,1,103,115,5,7,11,6,6,7,11,6
12.0,1,103,107,5,7,11,6,5,8,11,6
12.0,1,104,106,5,8,10,5,5,8,11,5
12.0,1,105,116,5,8,11,4,6,8,11,4
12.0,1,105,106,5,8,11,4,5,8,11,5
12.0,1,106,117,5,8,11,5,6,8,11,5
12.0,1,106,107,5,8,11,5,5,8,11,6
12.0,1,107,118,5,8,11,6,6,8,11,6
12.0,1,109,113,6,6,11,4,6,7,11,4
12.0,1,109,110,6,6,11,4,6,6,11,5
12.0,1,110,114,6,6,11,5,6,7,11,5
12.0,1,110,111,6,6,11,5,6,6,11,6
12.0,1,111,115,6,6,11,6,6,7,11,6
12.0,1,112,114,6,7,10,5,6,7,11,5
12.0,1,113,116,6,7,11,4,6,8,11,4
12.0,1,113,114,6,7,11,4,6,7,11,5
12.0,1,114,117,6,7,11,5,6,8,11,5
12.0,1,114,115,6,7,11,5,6,7,11,6
12.0,1,115,118,6,7,11,6,6,8,11,6
12.0,1,116,117,6,8,11,4,6,8,11,5
12.0,1,117,118,6,8,11,5,6,8,11,6
12.0,1,119,120,7,10,5,9,7,10,5,10
12.0,1,121,127,8,5,0,8,9,5,0,8
12.0,1,122,124,8,8,7,4,8,9,7,4
12.0,1,123,124,8,9,7,3,8,9,7,4
12.0,1,125,127,9,4,0,8,9,5,0,8
12.0,1,126,127,9,5,0,7,9,5,0,8
12.0,1,127,128,9,5,0,8,9,5,0,9
12.0,1,129,143,9,5,11,0,10,5,11,0
12.0,1,129,130,9,5,11,0,9,6,11,0
12.0,1,130,147,9,6,11,0,10,6,11,0
12.0,1,130,131,9,6,11,0,9,6,11,1
12.0,1,131,148,9,6,11,1,10,6,11,1
12.0,1,134,154,10,0,11,1,11,0,11,1
12.0,1,134,137,10,0,11,1,10,1,11,1
12.0,1,135,157,10,1,7,3,11,1,7,3
12.0,1,135,139,10,1,7,3,10,2,7,3
12.0,1,136,160,10,1,11,0,11,1,11,0
12.0,1,136,137,10,1,11,0,10,1,11,1
12.0,1,137,161,10,1,11,1,11,1,11,1
12.0,1,138,164,10,2,7,2,11,2,7,2
12.0,1,138,139,10,2,7,2,10,2,7,3
12.0,1,139,165,10,2,7,3,11,2,7,3
12.0,1,139,140,10,2,7,3,10,3,7,3
12.0,1,140,171,10,3,7,3,11,3,7,3
12.0,1,141,176,10,4,5,6,11,4,5,6
12.0,1,142,146,10,5,10,0,10,6,10,0
12.0,1,142,143,10,5,10,0,10,5,11,0
12.0,1,143,184,10,5,11,0,11,5,11,0
12.0,1,143,147,10,5,11,0,10,6,11,0
12.0,1,143,144,10,5,11,0,10,5,11,1
12.0,1,144,148,10,5,11,1,10,6,11,1
12.0,1,146,147,10,6,10,0,10,6,11,0
12.0,1,147,148,10,6,11,0,10,6,11,1
12.0,1,149,188,10,10,0,0,11,10,0,0
12.0,1,149,150,10,10,0,0,10,11,0,0
12.0,1,150,198,10,11,0,0,11,11,0,0
12.0,1,150,152,10,11,0,0,10,11,1,0
12.0,1,150,151,10,11,0,0,10,11,0,1
12.0,1,151,199,10,11,0,1,11,11,0,1
12.0,1,151,153,10,11,0,1,10,11,1,1
12.0,1,152,201,10,11,1,0,11,11,1,0
12.0,1,152,153,10,11,1,0,10,11,1,1
12.0,1,153,202,10,11,1,1,11,11,1,1
12.0,1,154,161,11,0,11,1,11,1,11,1
12.0,1,155,163,11,1,6,3,11,2,6,3
12.0,1,155,157,11,1,6,3,11,1,7,3
12.0,1,156,164,11,1,7,2,11,2,7,2
12.0,1,156,157,11,1,7,2,11,1,7,3
12.0,1,157,165,11,1,7,3,11,2,7,3
12.0,1,157,159,11,1,7,3,11,1,8,3
12.0,1,157,158,11,1,7,3,11,1,7,4
12.0,1,158,166,11,1,7,4,11,2,7,4
12.0,1,159,168,11,1,8,3,11,2,8,3
12.0,1,160,161,11,1,11,0,11,1,11,1
12.0,1,162,164,11,2,6,2,11,2,7,2
12.0,1,162,163,11,2,6,2,11,2,6,3
12.0,1,163,165,11,2,6,3,11,2,7,3
12.0,1,164,170,11,2,7,2,11,3,7,2
12.0,1,164,167,11,2,7,2,11,2,8,2
12.0,1,164,165,11,2,7,2,11,2,7,3
12.0,1,165,171,11,2,7,3,11,3,7,3
12.0,1,165,168,11,2,7,3,11,2,8,3
12.0,1,165,166,11,2,7,3,11,2,7,4
12.0,1,166,172,11,2,7,4,11,3,7,4
12.0,1,167,168,11,2,8,2,11,2,8,3
12.0,1,168,173,11,2,8,3,11,3,8,3
12.0,1,169,176,11,3,5,6,11,4,5,6
12.0,1,170,171,11,3,7,2,11,3,7,3
12.0,1,171,173,11,3,7,3,11,3,8,3
12.0,1,171,172,11,3,7,3,11,3,7,4
12.0,1,174,176,11,4,4,6,11,4,5,6
12.0,1,175,180,11,4,5,5,11,5,5,5
12.0,1,175,178,11,4,5,5,11,4,6,5
12.0,1,175,176,11,4,5,5,11,4,5,6
12.0,1,176,181,11,4,5,6,11,5,5,6
